"OFFENSE","Male","Female","Total","Percent"
"CAPITAL RAPE","2","0","2","0.57%"
"CHILD ENDANGERMENT                                          11","","6","17","4.82%"
"CHILD MOLESTATION","7","0","7","1.98%"
"CHILD PORNOGRAPHY                                            2","","0","2","0.57%"
"ENTICE CHILD FOR INDECENT PURPOSES                           1","","0","1","0.28%"
"EXPLOITATION/CHILD                                           15","","0","15","4.25%"
"","FONDLING                                                     27","0","27","7.65%"
"FONDLING A CHILD                                             13","","0","13","3.68%"
"GRATIFICATION/LUST                                           17","","0","17","4.82%"
"KIDNAP MINOR","1","3","4","1.13%"
"RAPE","35","0","35","9.92%"
"SEX ASSAULT","2","0","2","0.57%"
"SEXUAL BATTERY                                               93","","6","99","28.05%"
"STATUTORY RAPE                                               61","","2","63","17.85%"
"UNLAWFUL TOUCHING/CHILD                                     38","","0","38","10.76%"
"UNNATURAL INTERCOURSE                                        1","","0","1","0.28%"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                    3","","0","3","0.85%"
"INCEST","2","0","2","0.57%"
"SEXUAL ABUSE - VULNERABLE ADULT                              2","","1","3","0.85%"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","1","1","2","0.57%"
"Total","334","19","353","100.00%"
