"County","Offenders","Percent"
"ADAMS","2","0.57%"
"ALCORN","2","0.57%"
"AMITE","1","0.28%"
"ATTALA","2","0.57%"
"BENTON","1","0.28%"
"BOLIVAR","1","0.28%"
"CALHOUN","6","1.70%"
"CHICKASAW","3","0.85%"
"CHOCTAW","1","0.28%"
"CLARKE","7","1.98%"
"CLAY","2","0.57%"
"COAHOMA","2","0.57%"
"COPIAH","2","0.57%"
"DESOTO","20","5.67%"
"FORREST","5","1.42%"
"FRANKLIN","1","0.28%"
"GREENE","2","0.57%"
"GRENADA","5","1.42%"
"HANCOCK","3","0.85%"
"HARRISON","19","5.38%"
"HINDS","19","5.38%"
"ITAWAMBA","1","0.28%"
"JACKSON","22","6.23%"
"JEFFERSON","1","0.28%"
"JONES","5","1.42%"
"LAFAYETTE","2","0.57%"
"LAMAR","10","2.83%"
"LAUDERDALE","12","3.40%"
"LAWRENCE","4","1.13%"
"LEAKE","5","1.42%"
"LEE","6","1.70%"
"LEFLORE","6","1.70%"
"LINCOLN","6","1.70%"
"LOWNDES","18","5.10%"
"MADISON","11","3.12%"
"MARION","3","0.85%"
"MARSHALL","3","0.85%"
"MONROE","5","1.42%"
"MONTGOMERY","1","0.28%"
"NESHOBA","3","0.85%"
"NEWTON","2","0.57%"
"NOXUBEE","1","0.28%"
"OKTIBBEHA","9","2.55%"
"PANOLA","6","1.70%"
"PEARL","8","2.27%"
"PERRY","1","0.28%"
"PIKE","2","0.57%"
"PONTOTOC","6","1.70%"
"PRENTISS","4","1.13%"
"RANKIN","18","5.10%"
"SCOTT","3","0.85%"
"SHARKEY","1","0.28%"
"SIMPSON","1","0.28%"
"SMITH","1","0.28%"
"STONE","3","0.85%"
"SUNFLOWER","1","0.28%"
"TALLAHATCHIE","1","0.28%"
"TATE","5","1.42%"
"TIPPAH","4","1.13%"
"TUNICA","2","0.57%"
"UNAVAILABLE","3","0.85%"
"UNION","11","3.12%"
"WALTHALL","4","1.13%"
"WARREN","10","2.83%"
"WASHINGTON","8","2.27%"
"WAYNE","3","0.85%"
"WEBSTER","1","0.28%"
"WINSTON","2","0.57%"
"YALOBUSHA","2","0.57%"
"TOTAL","353","100.00%"
