"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE","0","0","0","0","0"
"CHILD ENDANGERMENT","1","5","0","0","6"
"CHILD MOLESTATION","0","0","0","0","0"
"CHILD PORNOGRAPHY","0","0","0","0","0"
"ENTICE CHILD FOR INDECENT PURPOSES","0","0","0","0","0"
"EXPLOITATION/CHILD","0","0","0","0","0"
"FONDLING","0","0","0","0","0"
"FONDLING A CHILD","0","0","0","0","0"
"GRATIFICATION/LUST","0","0","0","0","0"
"KIDNAP MINOR","0","3","0","0","3"
"RAPE","0","0","0","0","0"
"SEX ASSAULT","0","0","0","0","0"
"SEXUAL BATTERY","4","2","0","0","6"
"STATUTORY RAPE","0","2","0","0","2"
"UNLAWFUL TOUCHING/CHILD","0","0","0","0","0"
"UNNATURAL INTERCOURSE","0","0","0","0","0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","0","0","0","0"
"INCEST","0","0","0","0","0"
"SEXUAL ABUSE - VULNERABLE ADULT","0","1","0","0","1"
"PROCURING SEXUAL SERVITUDE OF A MINOR","0","1","0","0","1"
"TOTAL","5","14","0","0","19"
