"County","Offenders","Percent"
"ADAMS","18","0.50%"
"ALCORN","33","0.92%"
"AMITE","6","0.17%"
"ATTALA","23","0.64%"
"BENTON","2","0.06%"
"BOLIVAR","11","0.31%"
"CALHOUN","21","0.58%"
"CARROLL","4","0.11%"
"CHICKASAW","37","1.03%"
"CHOCTAW","11","0.31%"
"CLAIBORN","2","0.06%"
"CLARKE","15","0.42%"
"CLAY","60","1.67%"
"COAHOMA","20","0.56%"
"COPIAH","23","0.64%"
"COVINGTON","13","0.36%"
"DESOTO","197","5.49%"
"FORREST","116","3.23%"
"FRANKLIN","10","0.28%"
"GEORGE","47","1.31%"
"GREENE","15","0.42%"
"GRENADA","33","0.92%"
"HANCOCK","91","2.53%"
"HARRISON","356","9.92%"
"HINDS","59","1.64%"
"HUMPHREYS","1","0.03%"
"ITAWAMBA","29","0.81%"
"JACKSON","159","4.43%"
"JASPER","10","0.28%"
"JEFF","12","0.33%"
"JEFFERSON","3","0.08%"
"JONES","85","2.37%"
"KEMPER","7","0.19%"
"LAFAYETTE","44","1.23%"
"LAMAR","42","1.17%"
"LAUDERDALE","114","3.18%"
"LAWRENCE","10","0.28%"
"LEAKE","42","1.17%"
"LEE","157","4.37%"
"LEFLORE","20","0.56%"
"LINCOLN","49","1.36%"
"LOWNDES","160","4.46%"
"MADISON","129","3.59%"
"MARION","50","1.39%"
"MARSHALL","65","1.81%"
"MONROE","52","1.45%"
"MONTGOMERY","12","0.33%"
"NESHOBA","30","0.84%"
"NEWTON","16","0.45%"
"NOXUBEE","6","0.17%"
"OKTIBBEHA","74","2.06%"
"PANOLA","63","1.75%"
"PEARL","94","2.62%"
"PERRY","18","0.50%"
"PIKE","58","1.62%"
"PONTOTOC","41","1.14%"
"PRENTISS","60","1.67%"
"QUITMAN","4","0.11%"
"RANKIN","172","4.79%"
"SCOTT","45","1.25%"
"SHARKEY","1","0.03%"
"SIMPSON","22","0.61%"
"SMITH","13","0.36%"
"STONE","25","0.70%"
"SUNFLOWER","7","0.19%"
"TALLAHATCHIE","8","0.22%"
"TATE","32","0.89%"
"TIPPAH","20","0.56%"
"TISHOMINGO","14","0.39%"
"TUNICA","11","0.31%"
"UNAVAILABLE","12","0.33%"
"UNION","79","2.20%"
"WALTHALL","19","0.53%"
"WARREN","70","1.95%"
"WASHINGTON","25","0.70%"
"WAYNE","15","0.42%"
"WEBSTER","15","0.42%"
"WILKINSON","1","0.03%"
"WINSTON","22","0.61%"
"YALOBUSHA","14","0.39%"
"YAZOO","9","0.25%"
"TOTAL","3590","100.00%"
