"County","Offenders","Percent"
"ADAMS","67","0.72%"
"ALCORN","101","1.08%"
"AMITE","24","0.26%"
"ATTALA","53","0.57%"
"BENTON","14","0.15%"
"BOLIVAR","50","0.54%"
"CALHOUN","48","0.51%"
"CARROLL","17","0.18%"
"CHICKASAW","68","0.73%"
"CHOCTAW","26","0.28%"
"CLAIBORN","22","0.24%"
"CLARKE","53","0.57%"
"CLAY","120","1.29%"
"COAHOMA","70","0.75%"
"COPIAH","78","0.84%"
"COVINGTON","34","0.36%"
"DESOTO","443","4.75%"
"FORREST","347","3.72%"
"FRANKLIN","20","0.21%"
"GEORGE","68","0.73%"
"GREENE","31","0.33%"
"GRENADA","80","0.86%"
"HANCOCK","142","1.52%"
"HARRISON","787","8.43%"
"HINDS","393","4.21%"
"HOLMES","11","0.12%"
"HUMPHREYS","10","0.11%"
"ISSAQUENA","2","0.02%"
"ITAWAMBA","64","0.69%"
"JACKSON","468","5.02%"
"JASPER","28","0.30%"
"JEFF","24","0.26%"
"JEFFERSON","9","0.10%"
"JONES","228","2.44%"
"KEMPER","24","0.26%"
"LAFAYETTE","105","1.13%"
"LAMAR","126","1.35%"
"LAUDERDALE","313","3.35%"
"LAWRENCE","36","0.39%"
"LEAKE","91","0.98%"
"LEE","315","3.38%"
"LEFLORE","93","1.00%"
"LINCOLN","105","1.13%"
"LOWNDES","342","3.66%"
"MADISON","307","3.29%"
"MARION","123","1.32%"
"MARSHALL","116","1.24%"
"MONROE","107","1.15%"
"MONTGOMERY","30","0.32%"
"NESHOBA","88","0.94%"
"NEWTON","41","0.44%"
"NOXUBEE","20","0.21%"
"OKTIBBEHA","157","1.68%"
"PANOLA","120","1.29%"
"PEARL","227","2.43%"
"PERRY","37","0.40%"
"PIKE","165","1.77%"
"PONTOTOC","89","0.95%"
"PRENTISS","116","1.24%"
"QUITMAN","15","0.16%"
"RANKIN","473","5.07%"
"SCOTT","110","1.18%"
"SHARKEY","11","0.12%"
"SIMPSON","45","0.48%"
"SMITH","28","0.30%"
"STONE","51","0.55%"
"SUNFLOWER","45","0.48%"
"TALLAHATCHIE","36","0.39%"
"TATE","76","0.81%"
"TIPPAH","41","0.44%"
"TISHOMINGO","39","0.42%"
"TUNICA","31","0.33%"
"UNAVAILABLE","46","0.49%"
"UNION","139","1.49%"
"WALTHALL","55","0.59%"
"WARREN","193","2.07%"
"WASHINGTON","138","1.48%"
"WAYNE","50","0.54%"
"WEBSTER","29","0.31%"
"WILKINSON","12","0.13%"
"WINSTON","50","0.54%"
"YALOBUSHA","38","0.41%"
"YAZOO","42","0.45%"
"TOTAL","9086","100.00%"
