"","C
D1
D2/D3
E
TOTAL
COMMODITIES
CAP OUTLAY-OTHER
EQUIPMENT/VEH
SUBSIDIES","","","",""
"","","","","",""
"","$17,553,871","$0","$607,551","$2,803,347","$154,191,641"
"","$23,018","$0","$51,679","$242,717","$2,956,100"
"","$58,683","$0","$0","$0","$725,331"
"","$0","$0","$0","$0","$68,172,384"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$45,139,571"
"","$0","$0","$0","$0","$0"
"","$52,658","$0","$1,948","$0","$112,037"
"","$101,926","$0","$0","$0","$7,832,272"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$1,210,185","$0","$57,705","$154,529","$2,120,494"
"","$38,588","$96,097","$0","$0","$204,356"
"","$3,539","$0","$0","$0","$678,502"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$998,523","$64,687,719"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$11,212,544"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
"","$0","$0","$0","$0","$0"
