"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,379","15.99%"
"Central Mississippi Correctional Facility","3,818","3,424","16.21%"
"South Mississippi Correctional Institution","3,082","2,978","14.10%"
"Youthful Offender Facility","58","36","0.17%"
"County Jails - Approved*","1,781","806","3.81%"
"County Jails - Unapproved**","0","352","1.67%"
"Community Work Centers","1,364","805","3.81%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,693","11,780","55.76%"
"Alcorn County Correctional Facility","300","267","1.26%"
"Bolivar County Correctional Facility","369","295","1.40%"
"Carroll County Correctional Facility","280","266","1.26%"
"Chickasaw County Correctional Facility","300","268","1.27%"
"George County Correctional Facility","280","267","1.26%"
"Holmes County Correctional Facility","280","267","1.26%"
"Issaquena County Correctional Facility","274","272","1.29%"
"Jefferson County Correctional Facility","280","269","1.27%"
"Kemper County Correctional Facility","355","276","1.31%"
"Leake County Correctional Facility","280","197","0.93%"
"Marion County Correctional Facility","280","266","1.26%"
"Stone County Correctional Facility","280","270","1.28%"
"Washington County Correctional Facility","300","224","1.06%"
"Winston County Correctional Facility","280","270","1.28%"
"Yazoo County Correctional Facility","300","269","1.27%"
"TOTAL REGIONAL FACILITIES","4,438","3,943","18.66%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,166","5.52%"
"Marshall County Correctional Facility","1,000","1,000","4.73%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","894","4.23%"
"TOTAL PRIVATE PRISONS","5,972","3,060","14.48%"
"Community Trusties","16","38",".18%"
"Emergency Suspension","0","0",".00%"
"TVC","0","20",".09%"
"Conditional Release","0","2",".01%"
"Pending File Review","0","114",".54%"
"Court Order","0","222","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,103","19,179","90.78%"
"Intensive Supervision Program","0","724","3.43%"
"Earned Release Supervision Program","0","637","3.01%"
"Transitional Housing","0","0","0.00%"
"Conditional Release","0","2","0.01%"
"RRP","0","16","0.08%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","","1,391","6.58%"
"Other Custody","0","526","2.49%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","24,103","21,128","100.00%"
