"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,612","5,220","40.32%"
"Central Mississippi Correctional Facility","3,049","3,025","23.37%"
"South Mississippi Correctional Institution","2,214","2,041","15.77%"
"County Jails - Approved*","2,122","1,388","10.72%"
"County Jails - Unapproved**","0","31","0.24%"
"Community Work Centers","1320","1,240","9.58%"
"State, County Jails, & CWC Facilities","14,317","12,945","100.00%"
"Bolivar County Correctional Facility","250","205","10.08%"
"Carroll County Correctional Facility","250","201","9.88%"
"Holmes County Correctional Facility","250","198","9.73%"
"Issaquena County Correctional Facility","250","200","9.83%"
"Jefferson County Correctional Facility","250","212","10.42%"
"Kemper County Correctional Facility","250","220","10.82%"
"Leake Correctional Facility","250","199","9.78%"
"Marion County Correctional Facility","250","201","9.88%"
"Stone County Correctional Facility","250","198","9.73%"
"Winston County Correctional Facility","250","200","9.83%"
"Regional Facilities","2,500","2,034","100.00%"
"Delta Correctional Facility","1,000","838","24.03%"
"East MS Correctional Facility","500","495","14.20%"
"Marshall County Correctional Facility","1,000","867","24.86%"
"Walnut Grove Correctional Facility","500","405","11.61%"
"Wilkinson County Correctional Facility","900","882","25.29%"
"Private Prisons","3,900","3,487","100.00%"
"Community Trusties","30","24","0.11%"
"Emergency Suspension","0","28","0.13%"
"Court Order","0","176","0.83%"
"TOTAL CAPACITY & CUSTODY POPULATION","20,747","18,694","88.10%"
"Intensive Supervision Program","0","1,243","5.86%"
"Earned Release Supervision Program","0","983","4.63%"
"Medical Release","0","1","0.00%"
"Community Corrections","0","2,227","10.50%",
"Other Custody","0","207","0.98%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","84","0.40%"
"TOTAL","20,747","21,219","100.00%"
