"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,354","16.15%"
"Central Mississippi Correctional Facility","3,882","3,229","15.55%"
"South Mississippi Correctional Institution","3,082","3,037","14.62%"
"Youthful Offender Facility","58","25","0.12%"
"County Jails - Approved*","1,781","735","3.54%"
"County Jails - Unapproved**","0","339","1.63%"
"Community Work Centers","1,364","763","3.67%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,757","11,482","55.28%"
"Alcorn County Correctional Facility","300","239","1.15%"
"Bolivar County Correctional Facility","369","291","1.40%"
"Carroll County Correctional Facility","280","264","1.27%"
"Chickasaw County Correctional Facility","310","288","1.39%"
"George County Correctional Facility","280","223","1.07%"
"Holmes County Correctional Facility","280","222","1.07%"
"Issaquena County Correctional Facility","274","272","1.31%"
"Jefferson County Correctional Facility","280","278","1.34%"
"Kemper County Correctional Facility","355","347","1.67%"
"Leake County Correctional Facility","280","198","0.95%"
"Marion County Correctional Facility","280","226","1.09%"
"Stone County Correctional Facility","326","264","1.27%"
"Washington County Correctional Facility","300","232","1.12%"
"Winston County Correctional Facility","280","222","1.07%"
"Yazoo County Correctional Facility","300","239","1.15%"
"TOTAL REGIONAL FACILITIES","4,494","3,805","18.32%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,192","5.74%"
"Marshall County Correctional Facility","1,000","997","4.80%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","879","4.23%"
"TOTAL PRIVATE PRISONS","5,972","3,068","14.77%"
"Community Trusties","16","42",".20%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","100",".48%"
"TVC","0","2",".01%"
"Court Order","0","256","1.23%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,223","18,755","90.29%"
"Intensive Supervision Program","0","759","3.65%"
"Earned Release Supervision Program","0","601","2.89%"
"Transitional Housing","0","23","0.11%"
"Failure to Register-Monitoring","0","6","0.03%"
"Bond Monitoring","0","2","0.01%"
"Contempt","0","1","0.00%"
"Conditional Release","0","3","0.01%"
"RRP","0","85","0.41%"
"Medical Release","0","10","0.05%"
"TOTAL COMMUNITY CORRECTIONS","","1,490","7.17%"
"Other Custody","0 0 0","484","2.33%"
"Off-Grounds Medical (Hospital)","0","14","0.07%"
"At Large (Escapees & Walk-Aways)","0","28","0.13%"
"TOTAL","24,223","20,771","100.00%"
