"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,534","4,519","33.19%"
"Central Mississippi Correctional Facility","3,425","3,333","24.48%"
"South Mississippi Correctional Institution","2,684","2,584","18.98%"
"County Jails - Approved*","1,781","1,370","10.06%"
"County Jails - Unapproved**","0","83","0.61%"
"Community Work Centers","1,816","1,727","12.68%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,240","13,616","100.00%"
"Bolivar County Correctional Facility","294","293","9.55%"
"Carroll County Correctional Facility","280","279","9.09%"
"George County Correctional Facility","280","278","9.06%"
"Holmes County Correctional Facility","280","280","9.12%"
"Issaquena County Correctional Facility","274","272","8.86%"
"Jefferson County Correctional Facility","274","272","8.86%"
"Kemper County Correctional Facility","280","279","9.09%"
"Leake County Correctional Facility","280","280","9.12%"
"Marion County Correctional Facility","280","280","9.12%"
"Stone County Correctional Facility","280","277","9.03%"
"Winston County Correctional Facility","280","279","9.09%"
"TOTAL REGIONAL FACILITIES","3,082","3,069","100.00%"
"Delta Correctional Facility","972","970","19.93%"
"East MS Correctional Facility","1,000","871","17.90%"
"Marshall County Correctional Facility","1,000","996","20.46%"
"Tallahatchie County Correctional Facility","128","128","2.63%"
"Walnut Grove Correctional Facility","1,000","938","19.27%"
"Wilkinson County Correctional Facility","1,000","964","19.81%"
"TOTAL PRIVATE PRISONS","5,100","4,867","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","25","0.10%"
"Court Order","0","331","1.31%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,444","21,925","87.02%"
"Intensive Supervision Program","0","1,170","4.64%"
"Earned Release Supervision Program","00","1,689","6.70%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","2,867","11.38%"
"Other Custody","0","306","1.21%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","86","0.34%"
"TOTAL","22,444","25,194","100.00%"
