"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,455","3,101","14.49%"
"Central Mississippi Correctional Facility","2,923","2,184","10.21%"
"South Mississippi Correctional Institution","2,682","2,453","11.47%"
"Youthful Offender Facility","58","22","0.10%"
"County Jails - Approved*","1,995","1,039","4.86%"
"County Jails - Unapproved**","0","232","1.08%"
"Community Work Centers","1,870","1,043","4.88%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","12,983","10,074","47.09%"
"Alcorn County Correctional Facility","300","299","1.40%"
"Bolivar County Correctional Facility","369","353","1.65%"
"Carroll County Correctional Facility","280","274","1.28%"
"Chickasaw County Correctional Facility","300","298","1.39%"
"George County Correctional Facility","280","259","1.21%"
"Holmes County Correctional Facility","280","263","1.23%"
"Issaquena County Correctional Facility","274","256","1.20%"
"Jefferson County Correctional Facility","280","266","1.24%"
"Kemper County Correctional Facility","355","338","1.58%"
"Leake County Correctional Facility","280","255","1.19%"
"Marion County Correctional Facility","280","269","1.26%"
"Stone County Correctional Facility","280","276","1.29%"
"Washington County Correctional Facility","300","252","1.18%"
"Winston County Correctional Facility","280","255","1.19%"
"Yazoo County Correctional Facility","300","285","1.33%"
"TOTAL REGIONAL FACILITIES","4,438","4,198","19.62%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,180","5.52%"
"Marshall County Correctional Facility","1,000","993","4.64%"
"Walnut Grove Correctional Facility","1,500","913","4.27%"
"Wilkinson County Correctional Facility","1,000","885","4.14%"
"TOTAL PRIVATE PRISONS","5,972","3,971","18.56%"
"Community Trusties","0","5",".02%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","75",".35%"
"Court Order","0","251","1.17%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,393","18,574","86.82%"
"Intensive Supervision Program","0","1,260","5.89%"
"Earned Release Supervision Program","0","973","4.55%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","","2,250","10.52%"
"Other Custody","0","536","2.51%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","23,393","21,394","100.00%"
