"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,358","25.86%"
"Central Mississippi Correctional Facility","3,557","3,297","25.39%"
"South Mississippi Correctional Institution","3,282","3,189","24.56%"
"Youthful Offender Facility","42","39","0.30%"
"County Jails - Approved*","1,882","1,478","11.38%"
"County Jails - Unapproved**","0","257","1.98%"
"Community Work Centers","1,848","1,367","10.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,259","12,985","100.00%"
"Alcorn County Correctional Facility","300","281","6.37%"
"Bolivar County Correctional Facility","369","369","8.36%"
"Carroll County Correctional Facility","280","280","6.34%"
"Chickasaw County Correctional Facility","300","300","6.80%"
"George County Correctional Facility","280","278","6.30%"
"Holmes County Correctional Facility","280","280","6.34%"
"Issaquena County Correctional Facility","274","274","6.21%"
"Jefferson County Correctional Facility","280","280","6.34%"
"Kemper County Correctional Facility","355","355","8.04%"
"Leake County Correctional Facility","280","280","6.34%"
"Marion County Correctional Facility","280","280","6.34%"
"Stone County Correctional Facility","280","280","6.34%"
"Washington County Correctional Facility","300","295","6.68%"
"Winston County Correctional Facility","280","280","6.34%"
"Yazoo County Correctional Facility","300","301","6.82%"
"TOTAL REGIONAL FACILITIES","4,438","4,413","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,200","27.24%"
"Marshall County Correctional Facility","1,000","1,000","22.70%"
"Walnut Grove Correctional Facility","1,500","1,304","29.60%"
"Wilkinson County Correctional Facility","1,000","902","20.47%"
"TOTAL PRIVATE PRISONS","5,972","4,406","100.00%"
"Community Trusties","22","14",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","40",".15%"
"Court Order","0","340","1.31%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,691","22,198","85.44%"
"Intensive Supervision Program","0","1,549","5.96%"
"Earned Release Supervision Program","0","1,669","6.42%"
"Medical Release","0","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","","3,245","12.49%"
"Other Custody","0","491","1.89%"
"Off-Grounds Medical (Hospital)","0000","11",".04%"
"At Large (Escapees & Walk-Aways)","","35",".13%"
"TOTAL","25,691","25,980","100.00%"
