"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,107","15.11%"
"Central Mississippi Correctional Facility","2,923","2,188","10.64%"
"South Mississippi Correctional Institution","2,682","2,512","12.21%"
"Youthful Offender Facility","58","28","0.14%"
"County Jails - Approved*","2,009","580","2.82%"
"County Jails - Unapproved**","0","285","1.39%"
"Community Work Centers","1,870","1,178","5.73%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,132","9,878","48.03%"
"Alcorn County Correctional Facility","300","299","1.45%"
"Bolivar County Correctional Facility","369","349","1.70%"
"Carroll County Correctional Facility","280","262","1.27%"
"Chickasaw County Correctional Facility","300","299","1.45%"
"George County Correctional Facility","280","274","1.33%"
"Holmes County Correctional Facility","280","278","1.35%"
"Issaquena County Correctional Facility","274","256","1.24%"
"Jefferson County Correctional Facility","280","262","1.27%"
"Kemper County Correctional Facility","355","342","1.66%"
"Leake County Correctional Facility","280","263","1.28%"
"Marion County Correctional Facility","280","269","1.31%"
"Stone County Correctional Facility","280","282","1.37%"
"Washington County Correctional Facility","300","205","1.00%"
"Winston County Correctional Facility","280","280","1.36%"
"Yazoo County Correctional Facility","300","289","1.41%"
"TOTAL REGIONAL FACILITIES","4,438","4,209","20.47%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,125","5.47%"
"Marshall County Correctional Facility","1,000","996","4.84%"
"Walnut Grove Correctional Facility","1,500","918","4.46%"
"Wilkinson County Correctional Facility","1,000","836","4.07%"
"TOTAL PRIVATE PRISONS","5,972","3,875","18.84%"
"Community Trusties","22","13",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","79",".38%"
"Court Order","0","211","1.03%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,542","18,265","88.82%"
"Intensive Supervision Program","0","862","4.19%"
"Earned Release Supervision Program","0","831","4.04%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","","1,708","8.31%"
"Other Custody","0","557","2.71%"
"Off-Grounds Medical (Hospital)","0","8","0.04%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","23,542","20,565","100.00%"
