"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,832","5,731","40.75%"
"Central Mississippi Correctional Facility","3,233","3,156","22.44%"
"South Mississippi Correctional Institution","2,216","2,140","15.22%"
"County Jails - Approved*","2,133","1,632","11.60%"
"County Jails - Unapproved**","0","107","0.76%"
"Community Work Centers","1816","1,299","9.24%"
"","15,230","14,065","100.00%"
"Bolivar County Correctional Facility","250","232","8.96%"
"Carroll County Correctional Facility","250","236","9.12%"
"GeorgeCounty Correctional Facility","250","233","9.00%"
"Holmes County Correctional Facility","250","235","9.08%"
"Issaquena County Correctional Facility","250","243","9.39%"
"Jefferson County Correctional Facility","250","234","9.04%"
"Kemper County Correctional Facility","250","236","9.12%"
"Leake Correctional Facility","250","236","9.12%"
"Marion County Correctional Facility","250","235","9.08%"
"Stone County Correctional Facility","250","234","9.04%"
"Winston County Correctional Facility","250","234","9.04%"
"TOTAL REGIONAL FACILITIES","2,750","2,588","100.00%"
"East MS Correctional Facility","1,000","686","20.37%"
"Marshall County Correctional Facility","1,000","975","28.95%"
"Walnut Grove Correctional Facility","750","709","21.05%"
"Wilkinson County Correctional Facility","1,000","998","29.63%"
"","3,750","3,368","100.00%"
"Community Trusties","30","26","0.11%"
"Emergency Suspension","0","5","0.02%"
"Court Order","0","377","1.62%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,760","20,429","87.75%"
"Intensive Supervision Program","0","1,385","5.95%"
"Earned Release Supervision Program","0","1,128","4.84%"
"Medical Release","0","0","0.00%"
"","","2,513","10.79%"
"Other Custody","0","182","0.78%"
"University of MS Medical Center","0","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","146","0.63%"
"TOTAL","21,760","23,282","100.00%","00"
