"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,296","26.19%"
"Central Mississippi Correctional Facility","3,557","3,096","24.60%"
"South Mississippi Correctional Institution","3,282","3,186","25.32%"
"Youthful Offender Facility","42","34","0.27%"
"County Jails - Approved*","1,882","1,495","11.88%"
"County Jails - Unapproved**","0","266","2.11%"
"Community Work Centers","1,848","1,212","9.63%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,259","12,585","100.00%"
"Alcorn County Correctional Facility","300","297","6.84%"
"Bolivar County Correctional Facility","369","363","8.36%"
"Carroll County Correctional Facility","280","270","6.22%"
"Chickasaw County Correctional Facility","300","299","6.89%"
"George County Correctional Facility","280","274","6.31%"
"Holmes County Correctional Facility","280","273","6.29%"
"Issaquena County Correctional Facility","274","274","6.31%"
"Jefferson County Correctional Facility","280","276","6.36%"
"Kemper County Correctional Facility","355","343","7.90%"
"Leake County Correctional Facility","280","269","6.20%"
"Marion County Correctional Facility","280","279","6.43%"
"Stone County Correctional Facility","280","279","6.43%"
"Washington County Correctional Facility","300","286","6.59%"
"Winston County Correctional Facility","280","266","6.13%"
"Yazoo County Correctional Facility","300","292","6.73%"
"TOTAL REGIONAL FACILITIES","4,438","4,340","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,198","27.41%"
"Marshall County Correctional Facility","1,000","999","22.86%"
"Walnut Grove Correctional Facility","1,500","1,288","29.47%"
"Wilkinson County Correctional Facility","1,000","886","20.27%"
"TOTAL PRIVATE PRISONS","5,972","4,371","100.00%"
"Community Trusties","22","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","104",".41%"
"Court Order","0","343","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,691","21,752","85.80%"
"Intensive Supervision Program","0","1,430","5.64%"
"Earned Release Supervision Program","0","1,611","6.35%"
"Medical Release","0","23",".09%"
"TOTAL COMMUNITY CORRECTIONS","","3,064","12.09%"
"Other Custody","0","483","1.91%"
"Off-Grounds Medical (Hospital)","0000","23",".09%"
"At Large (Escapees & Walk-Aways)","0","31",".12%"
"TOTAL","25,691","25,353","100.00%"
