"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,631","5,488","40.01%"
"Central Mississippi Correctional Facility","3,099","3,066","22.35%"
"South Mississippi Correctional Institution","2,214","2,106","15.35%"
"County Jails - Approved*","2,113","1,677","12.22%"
"County Jails - Unapproved**","0","84","0.61%"
"Community Work Centers","1350","1,297","9.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,407","13,718","100.00%"
"Bolivar County Correctional Facility","250","228","9.10%"
"Carroll County Correctional Facility","250","229","9.14%"
"GeorgeCounty Correctional Facility","250","227","9.06%"
"Holmes County Correctional Facility","250","228","9.10%"
"Issaquena County Correctional Facility","250","229","9.14%"
"Jefferson County Correctional Facility","250","227","9.06%"
"Kemper County Correctional Facility","250","226","9.02%"
"Leake Correctional Facility","250","227","9.06%"
"Marion County Correctional Facility","250","231","9.22%"
"Stone County Correctional Facility","250","227","9.06%"
"Winston County Correctional Facility","250","227","9.06%"
"","2,750","2,506","100.00%"
"East MS Correctional Facility","1,000","728","21.22%"
"Marshall County Correctional Facility","1,000","979","28.53%"
"Walnut Grove Correctional Facility","750","732","21.33%"
"Wilkinson County Correctional Facility","1,000","992","28.91%"
"","3,750","3,431","100.00%"
"Community Trusties","30","18","0.08%"
"Emergency Suspension","0","10","0.04%"
"Court Order","0","247","1.08%"
"TOTAL CAPACITY & CUSTODY POPULATION","20,937","19,930","87.35%"
"Intensive Supervision Program","1,492","6.54%"
"Earned Release Supervision Program","1,047","4.59%"
"Medical Release","0","0","0.00%"
"","0","2,539","11.13%"
"Other Custody","0","244","1.07%"
"University of MS Medical Center","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","97","0.43%"
"TOTAL","20,937","22,816","100.00%"
