"MISSISSIPPI STATE PENITENTIARY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy, ABE, GED)","200","N/A"
"Agri-Business Horticulture","15","1,750 Hours"
"Auto/Automotive Mechanic/Tech","15","1,860 Hours"
"Auto/Automotive Body Repairer","15","1,600 Hours"
"Carpenter","15","1,750 Hours"
"Institutional Food Workers & Admin","15","1,600 Hours"
"Diesel Equipment Repair & Services","15","1,260 Hours"
"Electricity","15","1,450 Hours"
"Mason & Tile Setter","15","1,800 Hours"
"Plumber & Pipefitting","15","1,675 Hours"
"Sheet Metal Worker","15","1,850 Hours"
"Welder/Welding Technologist","15","1,400 Hours"
"Heating, Air Conditioning & Refrig  (Unit 30)","15","1,900 Hours"
"Communications System Installer (Unit 30)","15","1,900 Hours"
"Outboard Engine Mechanics (Unit 30)","15","1,900 Hours"
"Welder/Welding Technologist (Unit 30)","15","1,400 Hours"
