"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT                                          0","","5","0","0","5"
"CHILD MOLESTATION                                           0","","0","0","0","0"
"CHILD NEGLECT - SEX OFFENSE                                  0","","0","0","0","0"
"CHILD PORNOGRAPHY                                           0","","0","0","0","0"
"DEPICTING A CHILD ENGAGING IN SEXUAL 
CONDUCT ON COMPUTER","0","0","0","0","0"
"ENTICE CHILD FOR INDECENT PURPOSES                          0","","0","0","0","0"
"EXPLOITATION/CHILD                                          0","","0","0","0","0"
"FONDLING                                                     0","","1","0","0","1"
"FONDLING A CHILD                                             0","","0","0","0","0"
"FORCIBLE SEXUAL INTERCOURSE                                 0","","0","0","0","0"
"GRATIFICATION/LUST                                           0","","1","0","0","1"
"HUMAN TRAFFICKING                                           0","","0","0","0","0"
"KIDNAP MINOR                                                0","","0","0","0","0"
"RAPE                                                         0","","0","0","0","0"
"SEXUAL ABUSE - VULNERABLE ADULT                             0","","0","0","0","0"
"SEXUAL BATTERY                                               2","","1","0","0","3"
"SEXUAL PENETRATION OF INCARCERATED 
OFFENDER BY LAW ENFORCEMENT","0","0","0","0","0"
"STATUTORY RAPE                                              0","","4","0","0","4"
"UNLAWFUL TOUCHING/CHILD                                     0","","0","0","0","0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","0","0","0","0"
"Total","2","12","0","0","14"
