"County","Offenders","Percent"
"ADAMS","13","0.47%"
"ALCORN","26","0.95%"
"AMITE","8","0.29%"
"ATTALA","14","0.51%"
"BENTON","2","0.07%"
"BOLIVAR","11","0.40%"
"CALHOUN","21","0.77%"
"CARROLL","3","0.11%"
"CHICKASAW","27","0.99%"
"CHOCTAW","4","0.15%"
"CLARKE","8","0.29%"
"CLAY","35","1.28%"
"COAHOMA","8","0.29%"
"COPIAH","9","0.33%"
"COVINGTON","10","0.37%"
"DESOTO","149","5.44%"
"FORREST","101","3.69%"
"FRANKLIN","3","0.11%"
"GEORGE","44","1.61%"
"GREENE","15","0.55%"
"GRENADA","23","0.84%"
"HANCOCK","89","3.25%"
"HARRISON","318","11.61%"
"HINDS","40","1.46%"
"ITAWAMBA","34","1.24%"
"JACKSON","162","5.91%"
"JASPER","6","0.22%"
"JEFF","9","0.33%"
"JONES","77","2.81%"
"KEMPER","3","0.11%"
"LAFAYETTE","34","1.24%"
"LAMAR","45","1.64%"
"LAUDERDALE","74","2.70%"
"LAWRENCE","7","0.26%"
"LEAKE","26","0.95%"
"LEE","110","4.02%"
"LEFLORE","11","0.40%"
"LINCOLN","31","1.13%"
"LOWNDES","85","3.10%"
"MADISON","90","3.29%"
"MARION","41","1.50%"
"MARSHALL","37","1.35%"
"MONROE","38","1.39%"
"MONTGOMERY","4","0.15%"
"NESHOBA","26","0.95%"
"NEWTON","16","0.58%"
"NOXUBEE","5","0.18%"
"OKTIBBEHA","40","1.46%"
"PANOLA","64","2.34%"
"PEARL","78","2.85%"
"PERRY","12","0.44%"
"PIKE","35","1.28%"
"PONTOTOC","33","1.20%"
"PRENTISS","45","1.64%"
"QUITMAN","4","0.15%"
"RANKIN","149","5.44%"
"SCOTT","17","0.62%"
"SHARKEY","2","0.07%"
"SIMPSON","9","0.33%"
"SMITH","16","0.58%"
"STONE","19","0.69%"
"SUNFLOWER","5","0.18%"
"TALLAHATCHIE","3","0.11%"
"TATE","16","0.58%"
"TIPPAH","14","0.51%"
"TISHOMINGO","4","0.15%"
"TUNICA","12","0.44%"
"UNION","56","2.04%"
"UNAVAILABLE","24","0.88%"
"WALTHALL","11","0.40%"
"WARREN","44","1.61%"
"WASHINGTON","22","0.80%"
"WAYNE","12","0.44%"
"WEBSTER","7","0.26%"
"WILKINSON","1","0.04%"
"WINSTON","10","0.37%"
"YALOBUSHA","10","0.37%"
"YAZOO","13","0.47%"
"TOTAL","2,739","100.00%"
