"OFFENSE","Male","Female","Total","Percent"
"CHILD ENDANGERMENT                                           6","","5","11","3.16%"
"CHILD MOLESTATION","2","0","2","0.57%"
"CHILD NEGLECT - SEX OFFENSE","1","0","1","0.29%"
"CHILD PORNOGRAPHY","3","0","3","0.86%"
"DEPICTING A CHILD ENGAGING IN SEXUAL CONDUCT ON 
COMPUTER","1","0","1","0.29%"
"ENTICE CHILD FOR INDECENT PURPOSES","2","0","2","0.57%"
"EXPLOITATION/CHILD","31","0","31","8.91%"
"FONDLING","24","0","24","6.90%"
"FONDLING A CHILD","12","1","13","3.74%"
"FORCIBLE SEXUAL INTERCOURSE","1","0","1","0.29%"
"GRATIFICATION/LUST","16","1","17","4.89%"
"HUMAN TRAFFICKING","1","0","1","0.29%"
"KIDNAP MINOR","4","0","4","1.15%"
"RAPE","9","0","9","2.59%"
"SEXUAL ABUSE - VULNERABLE ADULT","1","0","1","0.29%"
"","SEXUAL BATTERY                                               126","3","129","37.07%"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","1","0","1","0.29%"
"STATUTORY RAPE","57","4","61","17.53%"
"UNLAWFUL TOUCHING/CHILD                                     35","","0","35","10.06%"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                    1","","0","1","0.29%"
"Total","334","14","348","100.00%"
