"County","Offenders","Percent"
"Adams","0","0.00%"
"Alcorn","1","1.96%"
"Amite","0","0.00%"
"Attala","0","0.00%"
"Benton","0","0.00%"
"Bolivar","0","0.00%"
"Calhoun","0","0.00%"
"Carroll","0","0.00%"
"Chickasaw","0","0.00%"
"Choctaw","0","0.00%"
"Claiborn","0","0.00%"
"Clarke","0","0.00%"
"Clay","1","1.96%"
"Coahoma","1","1.96%"
"Copiah","0","0.00%"
"Covington","1","1.96%"
"+ Desoto","9","17.65%"
"+ Forrest","6","11.76%"
"Franklin","0","0.00%"
"George","1","1.96%"
"Greene","0","0.00%"
"Grenada","0","0.00%"
"Hancock","0","0.00%"
"+ Harrison","3","5.88%"
"+ Hinds","6","11.76%"
"Holmes","0","0.00%"
"Humphreys","0","0.00%"
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","0","0.00%"
"Jasper","0","0.00%"
"Jeff","0","0.00%"
"Jefferson","0","0.00%"
"Jones","1","1.96%"
"Kemper","0","0.00%"
"Lafayette","0","0.00%"
"Lamar","0","0.00%"
"Lauderdale","1","1.96%"
"Lawrence","0","0.00%"
"Leake","0","0.00%"
"Lee","0","0.00%"
"Leflore","0","0.00%"
"Lincoln","1","1.96%"
"Lowndes","1","1.96%"
"Madison","1","1.96%"
"Marion","0","0.00%"
"Marshall","0","0.00%"
"Monroe","0","0.00%"
"Montgomery","0","0.00%"
"Neshoba","0","0.00%"
"Newton","0","0.00%"
"Noxubee","0","0.00%"
"Oktibbeha","0","0.00%"
"Panola","0","0.00%"
"Pearl","1","1.96%"
"Perry","0","0.00%"
"Pike","0","0.00%"
"+ Pontotoc","1","1.96%"
"Prentiss","0","0.00%"
"Quitman","0","0.00%"
"Rankin","0","0.00%"
"Scott","1","1.96%"
"Sharkey","0","0.00%"
"Simpson","0","0.00%"
"Smith","0","0.00%"
"Stone","0","0.00%"
"Sunflower","1","1.96%"
"Tallahatchie","0","0.00%"
"Tate","0","0.00%"
"Tippah","0","0.00%"
"Tishomingo","0","0.00%"
"+Tunica","2","3.92%"
"Unavailable","0","0.00%"
"+ Union","1","1.96%"
"Walthall","0","0.00%"
"+Warren","3","5.88%"
"+Washington","3","5.88%"
"+ Wayne","2","3.92%"
"Webster","0","0.00%"
"Wilkinson","1","1.96%"
"Winston","1","1.96%"
"Yalobusha","0","0.00%"
"Yazoo","0","0.00%"
"TOTAL","51","100.00%"
