"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT                                          2","","3","0","1","6"
"CHILD MOLESTATION                                           2","","0","0","0","2"
"CHILD NEGLECT - SEX OFFENSE                                  1","","0","0","0","1"
"CHILD PORNOGRAPHY                                           0","","3","0","0","3"
"DEPICTING A CHILD ENGAGING IN SEXUAL 
CONDUCT ON COMPUTER","0","1","0","0","1"
"ENTICE CHILD FOR INDECENT PURPOSES","","2","0","0","2"
"EXPLOITATION/CHILD                                          6","","25","0","0","31"
"FONDLING                                                     6","","15","3","0","24"
"FONDLING A CHILD                                             7","","5","0","0","12"
"FORCIBLE SEXUAL INTERCOURSE                                 1","","0","0","0","1"
"GRATIFICATION/LUST                                           4","","11","1","0","16"
"HUMAN TRAFFICKING                                           0","","1","0","0","1"
"KIDNAP MINOR                                                3","","1","0","0","4"
"RAPE                                                         9","","0","0","0","9"
"SEXUAL ABUSE - VULNERABLE ADULT                             1","","0","0","0","1"
"SEXUAL BATTERY                                              64","","57","4","1","126"
"SEXUAL PENETRATION OF INCARCERATED 
OFFENDER BY LAW ENFORCEMENT","1","0","0","0","1"
"STATUTORY RAPE                                              39","","17","1","0","57"
"UNLAWFUL TOUCHING/CHILD                                     10","","24","1","0","35"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","1","0","0","1"
"Total","156","0","0","0","334"
