"COUNTY","Offenders","Percent"
"ADAMS","50","0.62%"
"ALCORN","101","1.25%"
"AMITE","28","0.35%"
"ATTALA","46","0.57%"
"BENTON","8","0.10%"
"BOLIVAR","58","0.72%"
"CALHOUN","54","0.67%"
"CARROLL","12","0.15%"
"CHICKASAW","57","0.70%"
"CHOCTAW","11","0.14%"
"CLAIBORN","28","0.35%"
"CLARKE","36","0.44%"
"CLAY","78","0.96%"
"COAHOMA","51","0.63%"
"COPIAH","85","1.05%"
"COVINGTON","41","0.51%"
"+ DESOTO","363","4.48%"
"+ FORREST","352","4.34%"
"FRANKLIN","14","0.17%"
"GEORGE","71","0.88%"
"GREENE","32","0.39%"
"GRENADA","57","0.70%"
"HANCOCK","148","1.83%"
"+ HARRISON","722","8.91%"
"+ HINDS","375","4.63%"
"HOLMES","14","0.17%"
"HUMPHREYS","10","0.12%"
"ITAWAMBA","64","0.79%"
"+ JACKSON","447","5.52%"
"JASPER","18","0.22%"
"JEFF","20","0.25%"
"JEFFERSON","7","0.09%"
"+ JONES","257","3.17%"
"KEMPER","25","0.31%"
"LAFAYETTE","85","1.05%"
"LAMAR","122","1.51%"
"+ LAUDERDALE","296","3.65%"
"LAWRENCE","17","0.21%"
"LEAKE","69","0.85%"
"+ LEE","256","3.16%"
"LEFLORE","96","1.18%"
"LINCOLN","81","1.00%"
"LOWNDES","233","2.88%"
"+ MADISON","254","3.13%"
"MARION","107","1.32%"
"MARSHALL","95","1.17%"
"MONROE","86","1.06%"
"MONTGOMERY","23","0.28%"
"NESHOBA","80","0.99%"
"NEWTON","42","0.52%"
"NOXUBEE","12","0.15%"
"OKTIBBEHA","116","1.43%"
"PANOLA","145","1.79%"
"PEARL","220","2.71%"
"PERRY","40","0.49%"
"PIKE","145","1.79%"
"PONTOTOC","90","1.11%"
"PRENTISS","92","1.14%"
"QUITMAN","6","0.07%"
"+ RANKIN","490","6.05%"
"SCOTT","53","0.65%"
"SHARKEY","6","0.07%"
"SIMPSON","37","0.46%"
"SMITH","26","0.32%"
"STONE","40","0.49%"
"SUNFLOWER","39","0.48%"
"TALLAHATCHIE","32","0.39%"
"TATE","70","0.86%"
"TIPPAH","43","0.53%"
"TISHOMINGO","24","0.30%"
"TUNICA","27","0.33%"
"UNION","123","1.52%"
"UNAVAILABLE","63","0.78%"
"WALTHALL","41","0.51%"
"WARREN","126","1.55%"
"WASHINGTON","106","1.31%"
"WAYNE","50","0.62%"
"WEBSTER","20","0.25%"
"WILKINSON","9","0.11%"
"WINSTON","43","0.53%"
"YALOBUSHA","39","0.48%"
"YAZOO","49","0.60%"
"TOTAL,"8,104","100.00%"
