"County","Offenders","Percent"
"ADAMS","4","0.58%"
"ALCORN","11","1.58%"
"AMITE","4","0.58%"
"ATTALA","4","0.58%"
"BOLIVAR","1","0.14%"
"CALHOUN","4","0.58%"
"CARROLL","2","0.29%"
"CHICKASAW","2","0.29%"
"CHOCTAW","1","0.14%"
"CLARKE","1","0.14%"
"CLAY","2","0.29%"
"COAHOMA","2","0.29%"
"COPIAH","9","1.29%"
"COVINGTON","2","0.29%"
"+ DESOTO","32","4.60%"
"+ FORREST","27","3.88%"
"GEORGE","7","1.01%"
"GREENE","2","0.29%"
"GRENADA","7","1.01%"
"HANCOCK","14","2.01%"
"+ HARRISON","82","11.80%"
"+ HINDS","21","3.02%"
"HUMPHREYS","2","0.29%"
"ITAWAMBA","9","1.29%"
"+ JACKSON","37","5.32%"
"JASPER","3","0.43%"
"JEFF","1","0.14%"
"+ JONES","27","3.88%"
"KEMPER","7","1.01%"
"LAFAYETTE","4","0.58%"
"LAMAR","13","1.87%"
"LAUDERDALE","21","3.02%"
"LAWRENCE","2","0.29%"
"LEAKE","3","0.43%"
"LEE","20","2.88%"
"LEFLORE","6","0.86%"
"LINCOLN","7","1.01%"
"+ LOWNDES","30","4.32%"
"+ MADISON","26","3.74%"
"MARION","6","0.86%"
"MARSHALL","9","1.29%"
"MONROE","11","1.58%"
"MONTGOMERY","3","0.43%"
"NESHOBA","4","0.58%"
"NEWTON","4","0.58%"
"NOXUBEE","2","0.29%"
"OKTIBBEHA","8","1.15%"
"PANOLA","14","2.01%"
"+ PEARL","26","3.74%"
"PERRY","4","0.58%"
"PIKE","12","1.73%"
"PONTOTOC","6","0.86%"
"PRENTISS","11","1.58%"
"+ RANKIN","44","6.33%"
"SCOTT","2","0.29%"
"SHARKEY","1","0.14%"
"SIMPSON","3","0.43%"
"SMITH","3","0.43%"
"STONE","2","0.29%"
"SUNFLOWER","4","0.58%"
"TATE","4","0.58%"
"TIPPAH","2","0.29%"
"TISHOMINGO","1","0.14%"
"TUNICA","2","0.29%"
"UNION","6","0.86%"
"UNAVAILABLE","9","1.29%"
"WALTHALL","5","0.72%"
"WARREN","11","1.58%"
"WASHINGTON","5","0.72%"
"WAYNE","2","0.29%"
"WEBSTER","2","0.29%"
"WINSTON","2","0.29%"
"YALOBUSHA","3","0.43%"
"YAZOO","3","0.43%"
"Total","695","100.00%"
