"WALNUT GROVE YOUTH CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Alcohol & Drug Treatment—Long Term","300","6 Months"
"Alcohol & Drug Treatment—Short Term","300","3 Months"
"Adult Basic Education Program","300","Open Entry/Exit"
"ACT Classes & Training","30","1 to 1-1/2 Years"
"General Education Degree","360","Open Entry/Exit"
"Pre-Release","150","6 Weeks"
"Regimented Inmate Discipline - Short Term","60","90 Days"
"Regimented Inmate Discipline - Long Term","128","6 Months"
"Vocational Skills Training","150","1 Year"
