"MISSISSIPPI STATE PENITENTIARY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy, ABE, GED)","230","Open Entry/Exit"
"Agri-Business Horticulture","15","1,750 Hours"
"Auto/Automotive Body Repair","15","1,600 Hours"
"Auto/Automotive Mechanic/Technician","15","1,860 Hours"
"Carpentry","15","1,750 Hours"
"Communications System Installation (U/30)","15","1,900 Hours"
"Diesel Equipment Repair & Services","15","1,260 Hours"
"Electrical","15","1,450 Hours"
"Heating, Air Conditioning & Refrig. (U/30)","15","1,900 Hours"
"Institutional Food Workers & Adminstration","15","1,600 Hours"
"Masonry & Tile Setting","15","1,800 Hours"
"Outboard Engine Mechanics (U/30)","15","1,900 Hours"
"Plumbing & Pipefitting","15","1,675 Hours"
"Sheet Metal Skills","15","1,850 Hours"
"Welder/Welding Technologist","15","1,400 Hours"
"Welder/Welding Technologist (U/30)","15","1,400 Hours"
