"BOLIVAR COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Alcohol & Drug Treatment Program","30","270 Hours"
"Advanced Computer Skills","10","8 Hours"
"Anger Management","10","8 Hours"
"Basic Computer Skills","10","8 Hours"
"Basic Construction Skills","10","16 Hours"
"Basic Keyboarding","10","8 Hours"
"Discipleship 1—5","20","12 Hours"
"General Education Degree","20","Open Entry/Exit"
"Life Skills Program","20","24 Hours"
"Literacy Skills","14","Open Entry/Exit"
