"MARSHALL COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education","30","Open Entry/Exit"
"Adjustment Skills Training","30","45 Days"
"Alcohol & Drug Treatment—Short Term","30","45 Days"
"Alcohol & Drug Treatment—Long Term","30","180 Days"
"Bible Education Program","268","Open Entry/Exit"
"Culinary Arts Introduction","15","1 Year"
"General Education Degree","30","Open Entry/Exit"
"Introduction to Computer Science","16","180 Days"
"Introduction to Horticulture","22","180 Days"
"Life Skills","30","65 Days"
"Literacy Skills","30","Open Entry/Exit"
"Vocational Education Programs","30","Open Entry/Exit"
