"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","1,499","589","432"
"","Therapeutic Community After Care (Unit 25)","215","95","60"
"","Special Needs (Disability Unit 31)","8","6","20"
"","Special Needs (Unit 28)","89","23","48"
"CMCF","A & D Program for Females","482","300","232"
"","A & D Program for Males (Disability Unit)","70","52","16"
"SMCI","Regimented Inmate Discipline Area","329","280","19"
"","General Population Program Area","959","607","178"
"3 Community Pre-Release Centers","","587","381","132"
"Flowood CWC (General Population)","","28","25","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","351","117","N/A"
