"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,242","15.55%"
"Probation - Compact","1,368","4.06%"
"Probation - Nonadjudicated","3,260","9.67%"
"Probation - Post Release","13,205","39.18%"
"TVC Probation","135","0.40%"
"PROBATION TOTAL","23,210","68.87%"
"Parole","8,239","24.45%"
"Parole - Compact","596","1.77%"
"Parole - Suspension","0","0.00%"
"TVC Parole","295","0.88%"
"PAROLE TOTAL","9,130","27.09%"
"Intensive Supervision Program - Court","717","2.13%"
"Intensive Supervision Program - Prison","37","0.11%"
"Earned Release Supervision","583","1.73%"
"Medical Release","14","0.04%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,360","4.04%"
"TOTAL","33,700","100.00%"
