"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,006","62.34%","","385","35.78%","4,391","58.53%"
"White","2,369","36.87%","","682","63.38%","3,051","40.67%"
"Hispanic","28",".44%","","7",".65%","35",".47%"
"Native American","9",".14%","","0",".00%","9",".12%"
"Asian","11",".17%","","1",".09%","12",".16%"
"Data Unavailable","3",".05%","","1",".09%","4",".05%"
"TOTAL","6,426","100.00%","","1,076","100.00%","7,502","100.00%"
"","","BY OFFENSE","","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,624","48.31%",""
"","","","Property","","3,075","40.99%",""
"","","","Aggravated Assault","","87","1.16%",""
"","","","Violent","","616","8.21%",""
"","","","Sex","","100","1.33%",""
"","","","TOTAL","","7,502","100.00%",""
