"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,283","62.36%","","384","33.98%","4,667","58.35%"
"White","2,534","36.90%","","719","63.63%","3,253","40.67%"
"Hispanic","23",".33%","","11",".97%","34",".43%"
"Native American","9",".13%","","1",".09%","10",".13%"
"Asian","15",".22%","","15","1.33%","30",".38%"
"Data Unavailable","4",".06%","","0",".00%","4",".05%"
"TOTAL","6,868","100.00%","","1,130","100.00%","7,998","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,946","49.34%",""
"","","","Property","","3,216","40.21%",""
"","","","Aggravated Assault","","111","1.39%",""
"","","","Violent","","621","7.76%",""
"","","","Sex","","104","1.30%",""
"","","","TOTAL","","7,998","100.00%",""
