"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,245","63.06%","","385","35.13%","4,630","59.15%"
"White","2,434","36.16%","","698","63.69%","3,132","40.01%"
"Hispanic","23",".34%","","11","1.00%","34",".43%"
"Native American","11",".16%","","1",".09%","12",".15%"
"Asian","16",".24%","","1",".09%","17",".22%"
"Data Unavailable","3",".04%","","0",".00%","3",".04%"
"TOTAL","6,732","100.00%","","1,096","100.00%","7,828","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,919","50.06%",""
"","","","Property","","3,092","39.50%",""
"","","","Aggravated Assault","","101","1.29%",""
"","","","Violent","","614","7.84%",""
"","","","Sex","","102","1.30%",""
"","","","TOTAL","","7,828","100.00%",""
