"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,083","63.17%","","380","36.22%","4,463","59.40%"
"White","2,331","36.06%","","658","62.73%","2,989","39.78%"
"Hispanic","24",".37%","","8",".76%","32",".43%"
"Native American","10",".15%","","1",".10%","11",".15%"
"Asian","12",".19%","","1",".10%","13",".17%"
"Data Unavailable","4",".06%","","1",".10%","5",".07%"
"TOTAL","6,464","100.00%","","1,049","100.00%","7,513","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,760","50.05%",""
"","","","Property","","2,934","39.05%",""
"","","","Aggravated Assault","","86","1.14%",""
"","","","Violent","","630","8.39%",""
"","","","Sex","","103","1.37%",""
"","","","TOTAL","","7,513","100.00%",""
