"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,356","15.79%"
"Central Mississippi Correctional Facility","3,506","2,783","13.09%"
"South Mississippi Correctional Institution","3,082","2,927","13.77%"
"Youthful Offender Facility","58","32","0.15%"
"County Jails - Approved*","1,986","866","4.07%"
"County Jails - Unapproved**","0","381","1.79%"
"Community Work Centers","1,864","983","4.62%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,086","11,328","53.29%"
"Alcorn County Correctional Facility","240","238","1.12%"
"Bolivar County Correctional Facility","369","294","1.38%"
"Carroll County Correctional Facility","280","242","1.14%"
"Chickasaw County Correctional Facility","300","240","1.13%"
"George County Correctional Facility","280","200","0.94%"
"Holmes County Correctional Facility","280","200","0.94%"
"Issaquena County Correctional Facility","274","240","1.13%"
"Jefferson County Correctional Facility","280","237","1.11%"
"Kemper County Correctional Facility","355","260","1.22%"
"Leake County Correctional Facility","280","198","0.93%"
"Marion County Correctional Facility","280","201","0.95%"
"Stone County Correctional Facility","280","200","0.94%"
"Washington County Correctional Facility","300","236","1.11%"
"Winston County Correctional Facility","280","199","0.94%"
"Yazoo County Correctional Facility","300","241","1.13%"
"TOTAL REGIONAL FACILITIES","4,378","3,426","16.12%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,125","5.29%"
"Marshall County Correctional Facility","1,000","996","4.69%"
"Walnut Grove Correctional Facility","1,500","932","4.38%"
"Wilkinson County Correctional Facility","1,000","895","4.21%"
"TOTAL PRIVATE PRISONS","5,972","3,948","18.57%"
"Community Trusties","16","39",".18%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","107",".50%"
"Court Order","0","232","1.09%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,436","19,080","89.75%"
"Intensive Supervision Program","0","781","3.67%"
"Earned Release Supervision Program","0","829","3.90%"
"Medical Release","0","12","0.06%"
"Conditional Release","0","2","0.01%"
"TOTAL COMMUNITY CORRECTIONS","","1,624","7.64%"
"Other Custody","0","523","2.46%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","24,436","21,258","100.00%"
