"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,768","5,658","40.53%"
"Central Mississippi Correctional Facility","3,233","3,109","22.27%"
"South Mississippi Correctional Institution","2,214","2,102","15.06%"
"County Jails - Approved*","2,176","1,509","10.81%"
"County Jails - Unapproved**","0","73","0.52%"
"Community Work Centers","1816","1,508","10.80%"
"","15,207","13,959","100.00%"
"Bolivar County Correctional Facility","250","249","9.01%"
"Carroll County Correctional Facility","250","252","9.12%"
"GeorgeCounty Correctional Facility","250","253","9.15%"
"Holmes County Correctional Facility","250","250","9.04%"
"Issaquena County Correctional Facility","250","252","9.12%"
"Jefferson County Correctional Facility","250","253","9.15%"
"Kemper County Correctional Facility","250","250","9.04%"
"Leake Correctional Facility","250","249","9.01%"
"Marion County Correctional Facility","250","255","9.23%"
"Stone County Correctional Facility","250","253","9.15%"
"Winston County Correctional Facility","250","248","8.97%"
"Regional Facilities","2,750","2,764","100.00%"
"East MS Correctional Facility","1,000","730","21.08%"
"Marshall County Correctional Facility","1,000","995","28.73%"
"Walnut Grove Correctional Facility","750","743","21.46%"
"Wilkinson County Correctional Facility","1,000","995","28.73%"
"TOTAL PRIVATE PRISONS","3,750","3,463","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","1","0.00%"
"Court Order","00","378","1.60%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,586","87.34%"
"Intensive Supervision Program","0","1,311","5.56%"
"Earned Release Supervision Program","0","1,285","5.45%"
"Medical Release","000 00","0","0.00%"
"","","2,596","11.01%"
"Other Custody","0","225","0.95%"
"University of MS Medical Center","0","1","0.00%"
"At Large (Escapees & Walk-Aways)","0","163","0.69%"
"TOTAL","21,737","23,571","100.00%"
