link,text
https://finesandfeesjusticecenter.org/articles/driving-on-empty-florida-drivers-license-suspension-fines-fees/,Driving on Empty:
https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2755304,Association of Punitive and Reporting State Policies Related to Substance Use in Pregnancy
https://static1.squarespace.com/static/5c4fbee5697a9849dae88a23/t/5de5728dcceb6a637f13c5cd/1575318158124/ES_Prosecutors_Violence.pdf,Prosecutors and Responses to Violence
https://www.tandfonline.com/doi/abs/10.1080/07418825.2019.1606270?journalCode=rjqy20,Socioeconomic Barriers to Child Contact with Incarcerated Parents
https://drive.google.com/file/d/1X7IaIwdhy40D6iZsgc8S_1Dl0W8vlHyn/view,Bringing it all back home:
https://trac.syr.edu/immigration/reports/583/,Growth in ICE Detention Fueled by Immigrants with No Criminal Conviction
https://cdn.ymaws.com/counciloncj.org/resource/collection/4683B90A-08CF-493F-89ED-A0D7C4BF7551/Trends_in_Correctional_Control_-_FINAL.pdf,Trends in Correctional Control by Race and Sex
https://journals.sagepub.com/doi/abs/10.1177/0093854819870268,The Influence of Familial Social Support on Physical Health During Reentry
https://www.nyclu.org/sites/default/files/field_documents/201910_nyclu_solitary_web.pdf,Trapped Inside:
https://www.brennancenter.org/sites/default/files/2019-11/2019_10_Fees%26Fines_Final5.pdf,The Steep Costs of Criminal Justice Fees and Fines:
https://repository.uchastings.edu/cgi/viewcontent.cgi?article=1143&context=hastings_race_poverty_law_journal,The Company Store and the Literally Captive Market:
https://ij.org/wp-content/uploads/2019/10/Taxation-by-Citation-FINAL-USE.pdf,The Price of Taxation by Citation:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026124/pdf/nihms592306.pdf,Unintended Consequences:
http://emancipationinitiative.org/wp-content/uploads/2019/11/Jail-voting-report-FINAL-11.1.19-1.pdf,Overcoming Barriers that Prevent Eligible Incarcerated People from Voting in Massachusetts
https://www.researchgate.net/publication/314026413_An_Examination_of_Care_Practices_of_Pregnant_Women_Incarcerated_in_Jail_Facilities_in_the_United_States,An Examination of Care Practices of Pregnant Women Incarcerated in Jail Facilities in the United States
https://www.pewtrusts.org/-/media/assets/2018/01/sfh_jails_inadvertent_health_care_providers.pdf,Jails: Inadvertent Health Care Providers
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3486094,Jailing Immigrant Detainees:
https://www.vera.org/downloads/publications/broken-ground-jail-construction.pdf,Broken Ground:
https://www.rstreet.org/wp-content/uploads/2019/10/Final-187.pdf,Statewide Policies Relating to Pre-Arrest Diversion and Crisis Response
https://www.yalelawjournal.org/forum/pushed-out-and-locked-in,Pushed Out and Locked In:
https://www.prisonpolicy.org/reports/pie2019women.html,Women's Mass Incarceration:
https://osf.io/preprints/socarxiv/kb9dy/,Criminal records and college admissions:
https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2751249,Acute Care for Patients Who Are Incarcerated:
https://sixthamendment.org/6AC/6AC_mi_waynecountyreport_2019.pdf,"The Right to Counsel in Wayne County, Michigan:"
https://journals.sagepub.com/doi/abs/10.1177/1078345819882771?journalCode=jcxa&,Overdose Education and Naloxone Distribution in the San Francisco County Jail
https://link.springer.com/article/10.1007/s10995-019-02822-4,Incarceration Exposure and Maternal Food Insecurity During Pregnancy:
https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=1217&context=nulr,Remote Adjudication in Immigration
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3474634,The Power of Observation:
https://www.minneapolisfed.org/~/media/files/community/indiancountry/gorsuch-and-rho---police-stops-and-searches-3_12_19.pdf?la=en,Police Stops and Searches of Indigenous People in Minneapolis:
https://journals.sagepub.com/doi/abs/10.1177/0033354919879732,"Age-Standardized Mortality of Persons on Probation, in Jail, or in State Prison and the General Population, 2001-2012"
https://www.sciencedirect.com/science/article/abs/pii/S037687161930273X?via%3Dihub,The benefits and implementation challenges of the first state-wide comprehensive medication for addictions program
https://www.sciencedirect.com/science/article/pii/S135917891400038X,Law enforcement and criminal justice personnel interactions with transgender people in the United States:
https://www.sciencedirect.com/science/article/abs/pii/S1049386718302500,Criminal Justice Contact and Health Service Utilization among Women across Health Care Settings:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5875331/,Postincarceration Fatal Overdoses After Implementing Medications for Addiction Treatment
https://www.aclu.org/report/cops-and-no-counselors,Cops and No Counselors:
https://texascivilrightsproject.org/wp-content/uploads/2019/10/2019-SolitaryConfinement-Report.pdf,Torture By Another Name:
https://pen.org/wp-content/uploads/2019/09/literature-locked-up-report-9.24.19.pdf,Literature Locked Up:
https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2752350,Association of Restrictive Housing During Incarceration With Mortality After Release
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3237620,Dying in East Baton Rouge Parish Prison
https://www.tandfonline.com/doi/pdf/10.1080/07418825.2019.1666903?needAccess=true&,The Cannabis Effect on Crime:
https://www.jstor.org/stable/10.7758/rsf.2019.5.1.09?refreqid=excelsior%3A4019594eada72c1c88dddcccf7f44184#metadata_info_tab_contents,Level of Criminal Justice Contact and Early Adult Wage Inequality
https://www.rand.org/pubs/research_reports/RR2840.html,Can Restorative Practices Improve School Climate and Curb Suspensions?
https://d3n8a8pro7vhmx.cloudfront.net/njisj/pages/1354/attachments/original/1569535127/Impacted_Persons_Report-_Press_ready__single_pages_09-26-19_FINAL_COMPRESSED.pdf,Value to the Soul:
http://www.bazelon.org/wp-content/uploads/2019/09/Bazelon-Diversion-to-What-Essential-Services-Publication_September-2019.pdf,Diversion to What?
https://www.eff.org/pages/atlas-surveillance-us-mexico-border-communities,Atlas of Surveillance:
https://www.jstor.org/stable/10.7758/rsf.2019.5.1.02?refreqid=excelsior%3A045e06578f561c0ac3126a94aef16a55#metadata_info_tab_contents,Police Contact and the Legal Socialization of Urban Teens
https://www.jstor.org/stable/10.7758/rsf.2019.5.1.05?refreqid=excelsior%3A44dc8448b16b31278095cbaa13eb14b6#metadata_info_tab_contents,The Great Decoupling:
https://www.eff.org/wp/law-enforcement-use-face-recognition,Face Off:
https://policing.civilrights.org/Policing_Full_Report.pdf,New Era of Public Safety:
https://datacollaborativeforjustice.org/wp-content/uploads/2019/09/2019_09_09_Bail-Brief-FINAL.pdf,Assessing Potential Impacts of 2020 Bail Reforms in New York City
https://www.jstor.org/stable/10.7758/rsf.2019.5.1.06?refreqid=excelsior%3A87dfef8240108239b95683a24cc6701b#metadata_info_tab_contents,Bail and Pretrial Detention:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3446691,Disordered Punishment:
http://www.ncsl.org/research/civil-and-criminal-justice/state-medical-and-geriatric-parole-laws.aspx,State Medical and Geriatric Parole Laws
http://filesforprogress.org/memos/fines_and_fees.pdf,Voters Support Reducing the Use of Fines and Fees in Sentencing
https://gspp.berkeley.edu/assets/uploads/research/pdf/MacDonald_and_Raphael_September_20_2019.pdf,The Effect of Scaling Back Punishment on Racial Disparities in Criminal Case Outcomes
https://csgjusticecenter.org/wp-content/uploads/2015/03/ExaminingtheChangingRacialCompositionofThreeStatesPrisonPopulations.pdf,In Brief:
https://www.brennancenter.org/sites/default/files/2019-08/Report_State_Supreme_Court_Diversity.pdf,State Supreme Court Diversity
https://www.courtwatchma.org/uploads/4/7/8/9/47895019/rhetoric_not_reform_-_oct._2019.pdf,"Rhetoric, Not Reform:"
https://csgjusticecenter.org/wp-content/uploads/2019/09/On-Track-CSG-Brief.pdf,On Track:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761034/,Sexual Victimization and Mental Illness Prevalence Rates Among Incarcerated Women:
https://aclu-co.org/wp-content/uploads/2019/09/ACLU_CO_Cashing_In_On_Cruelty_09-17-19.pdf,Cashing in on Cruelty:
