"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","760","597","1,401","464"
"CMCF","923","887","982","331"
"SMCI","875","773","1,084","426"
"County Jails (approved)","656","437","40","17"
"County Jails (unapproved)","98","95","34","14"
"Private Prisons","730","1,103","2,698","764"
"Regional Correctional Facilities","633","631","1,165","564"
"Community Work Centers","980","520","5","0"
"Community Trusties","2","5","0"
"Pending File Review","5 5
3","39","9"
"Court Order","109","107","44","3 1
9"
"TOTAL CUSTODY POPULATION","5,822","5,191","7,467","2,602"
"Intensive Supervison Program","810","714","43","5"
"Earned Release Supervision","332","475","616","5"
"Medical Release","22","15","7"
"Other Custody","141","135","85","0 1
3"
