"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","755","586","1,384","473"
"CMCF","927","945","959","329"
"SMCI","846","763","1,133","431"
"County Jails (approved)","656","422","37","25"
"County Jails (unapproved)","65","76","24","13"
"Private Prisons","714","1,101","2,675","774"
"Regional Correctional Facilities","659","618","1,147","568"
"Community Work Centers","998","550","7","0"
"Community Trusties","3","5","0"
"Pending File Review","6 7
0","56","11","1 1"
"Court Order","117","107","60","6"
"TOTAL CUSTODY POPULATION","5,813","5,227","7,442","2,630"
"Intensive Supervison Program","826","727","40","6 4"
"Earned Release Supervision","343","486","610"
"Medical Release","23","14","7","0 1"
"Other Custody","142","130","84","2"
