"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","817","634","1,486","508"
"CMCF","925","953","1,016","330"
"SMCI","888","771","1,082","420"
"County Jails (approved)","565","385","43","20"
"County Jails (unapproved)","121","157","42","13"
"Private Prisons","750","1,105","2,656","789"
"Regional Correctional Facilities","507","469","1,054","486"
"Community Work Centers","1,041","586","11","0"
"Community Trusties","10","1","6","0"
"Pending File Review","47","41","8","3 1"
"Court Order","118","100","48","4"
"TOTAL CUSTODY POPULATION","5,789","5,202","7,452","2,583"
"Intensive Supervison Program","825","734","46","5 4"
"Earned Release Supervision","328","502","604"
"Medical Release","23","13","7","0 1"
"Other Custody","141","127","81","2"
