"TOTAL
20,310","","100.00%","","","1,652","","","100.00%","","21,962","","","","100.00%"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,259","","0","1,055","0","14","0","1","0","4","0","0","0","3,333"
"CMCF","1,435","","421","740","526","29","5","2","2","5","0","0","0","3,165"
"SMCI","2,130","","0","1,015","0","47","0","3","0","4","0","0","0","3,199"
"County Jails (approved)","776","","38","468","62","4","0","2","0","3","0","6","0","1,359"
"County Jails (unapproved)","176","","13","100","17","2","0","3","0","0","0","5","0","316"
"Private Prisons","3,189","","0","1,053","0","21","0","4","0","7","0","0","0","4,274"
"Regional Correctional Facilities","2,733","","134","1,262","155","36","1","2","0","7","0","2","0","4,332"
"Community Work Centers","871","","75","493","162","4","2","1","0","3","0","0","0","1,611"
"Community Trusties","9","","0","3","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","28","","3","21","1","1","0","0","0","0","0","0","0","54"
"Court Order","163","","8","107","26","1","0","0","1","1","0","0","0","307"
"CUSTODY POPULATION","13,769","","692","6,317","949","159","8","18","3","34","0","13","0","21,962"
"Intensive Supervison Program","600","","157","537","248","6","0","4","0","0","0","4","1","1,557"
"Earned Release Supervision","1,005","","82","440","77","4","0","0","0","2","2","0","0","1,612"
"Medical Release","14","","1","6","1","0","0","0","0","0","0","0","0","22"
"Other Custody","200","","9","160","22","46","5","0","1","2","0","4","0","449"
"At Large","21","","0","9","2","3","0","0","0","0","0","0","0","35"
"Off-Grounds Medical (Hospital)","6","","1","4","1","0","0","0","0","0","0","0","0","12"
"TOTAL","15,615","","942","7,473","1,300","218","13","22","4","38","2","21","1","25,649"
"% OF TOTAL OFFENDERS","60.88%","","3.67%","29.14%","5.07%",".85%",".05%",".09%",".02%",".15%",".01%",".08%",".00%","100.00%"
