"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","13,869","","67.22%","","","","844","","","43.22%","","","","14,713","","","","65.14%"
"White","6,482","","31.42%","","","","1,079","","","55.25%","","","","7,561","","","","33.48%"
"Hispanic","208","","1.01%","","","","20","","","1.02%","","","","228","","","","1.01%"
"Native American","25","",".12%","","","","","","",".36%","","","","32","","","",".14%"
"Asian","42","",".20%","","","","","","",".10%","","","","44","","","",".19%"
"Data Unavailable","7","",".03%","","","","1","","",".05%","","","","8","","","",".04%"
"TOTAL","20,633","","100.00%","","","","1,953","","","100.00%","","","","22,586","","","","100.00%"

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""


"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,092","","0","943","0","","22","0","","4","0","4","","0","1","0","3,066"
"CMCF","890","","369","481","425","","10","3","","2","2","3","","1","0","0","2,186"
"SMCI","1,733","","0","941","0","","33","0","","1","0","6","","0","0","0","2,714"
"County Jails (approved)","732","","28","410","44","","8","0","","1","0","1","","1","0","0","1,225"
"County Jails (unapproved)","46","","4","31","8","","0","1","","0","0","1","","0","1","0","92"
"Youthful Offender Facility","27","","0","5","0","","0","0","","0","0","0","","0","0","0","32"
"Private Prisons","3,164","","0","1,090","0","","38","0","","8","0","9","","0","0","0","4,309"
"Regional Correctional Facilities","2,727","","132","1,218","144","","36","3","","3","0","7","","0","0","0","4,270"
"Community Work Centers","575","","50","314","121","","0","1","","2","0","2","","0","1","0","1,066"
"Transitional Housing","1","","0","1","0","","0","0","","0","0","0","","0","0","0","2"
"TVC","1","","0","1","0","","0","0","","0","0","0","","0","0","0","2"
"Community Trusties","4","","0","1","0","","0","0","","0","0","0","","0","0","0","5"
"Pending File Review","102","","12","75","10","","0","0","","0","0","1","","0","0","0","200"
"Court Order","135","","5","73","13","","0","1","","0","0","2","","0","0","0","229"
"","12,229","","600","5,584","765","","147","9","","21","2","36","","2","3","0","19,398"
"Intensive Supervison Program","571","","164","443","231","","5","5","","0","2","2","","0","1","1","1,425"
"Earned Release Supervision","811","","69","260","58","","4","0","","3","0","1","","0","0","0","1,206"
"Medical Release","11","","0","7","2","","0","0","","0","0","0","","0","0","0","20"
"Other Custody","230","","12","179","20","","49","6","","1","1","3","","0","3","0","504"
"At Large","16","","0","7","2","","3","0","","0","0","0","","0","0","0","28"
"Off-Grounds Medical (Hospital)","2","","0","3","0","","0","0","","0","0","0","","0","0","0","5"
"TOTAL","13,870","","845","6,483","1,078","","208","20","","25","5","42","","2","7","1","22,586"
"% OF TOTAL OFFENDERS","61.41%","","3.74%","28.70%","4.77%","",".92%",".09%","",".11%",".02%",".19%","",".01%",".03%",".00%","7 2
100.00%"
