"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,118","","0","961","","0","20","","0","2","","0","5","","0","1","0","","3,107"
"CMCF","878","","371","465","","450","10","","6","3","","2","1","","0","2","0","","2,188"
"SMCI","1,627","","0","845","","0","33","","0","2","","0","4","","0","1","0","","2,512"
"County Jails (approved)","332","","17","190","","36","4","","0","0","","0","0","","1","0","0","","580"
"County Jails (unapproved)","159","","2","105","","14","1","","0","0","","0","2","","0","2","0","","285"
"Youthful Offender Facility","24","","0","3","","0","1","","0","0","","0","0","","0","0","0","","28"
"Private Prisons","2,858","","0","975","","0","24","","0","10","","0","8","","0","0","0","","3,875"
"Regional Correctional Facilities","2,717","","94","1,233","","111","37","","0","5","","0","11","","0","1","0","","4,209"
"Community Work Centers","632","","57","359","","122","1","","2","2","","0","2","","0","1","0","","1,178"
"Community Trusties","10","","0","3","","0","0","","0","0","","0","0","","0","0","0","","13"
"Pending File Review","41","","5","28","","3","0","","0","1","","0","1","","0","0","0","","79"
"Court Order","123","","4","72","","9","1","","1","0","","0","0","","1","0","0","","211"
"","11,519","","550","5,239","","745","132","","9","25","","2","34","","2","8","0","","18,265"
"Intensive Supervison Program","338","","102","273","","141","1","","1","0","","1","3","","1","1","0","","862"
"Earned Release Supervision","560","","50","179","","36","3","","1","0","","0","2","","0","0","0","","831"
"Medical Release","8","","0","5","","2","0","","0","0","","0","0","","0","0","0","","15"
"Other Custody","255","","16","193","","27","51","","5","2","","1","4","","0","3","0","","557"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","5","","0","1","","2","0","","0","0","","0","0","","0","0","0","","8"
"TOTAL","12,701","","718","5,896","","955","190","","16","27","","4","43","","3","12","0","","20,565"
"% OF TOTAL OFFENDERS","61.76%","","3.49%","28.67%","","4.64%",".92%","",".08%",".13%","",".02%",".21%","",".01%",".06%",".00%","","100.00%"
