"TOTAL","19,376","","100.00%","1,706","","100.00%","","21,082","","100.00%","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,256","0","956","0","28","0","3","0","10","0","2","0","3,255"
"CMCF","1,646","389","1,078","580","26","9","6","2","9","1","0","2","3,748"
"SMCI","1,937","0","1,057","0","37","0","1","0","6","0","0","0","3,038"
"County Jails (approved)","341","5","312","8","3","0","0","0","4","0","1","0","674"
"County Jails (unapproved)","191","14","131","24","2","0","1","0","1","0","0","0","364"
"Youthful Offender Facility","34","0","2","0","0","0","0","0","0","0","0","0","36"
"Private Prisons","2,279","0","886","0","16","0","8","0","4","0","0","0","3,193"
"Regional Correctional Facilities","2,225","67","1,242","99","47","2","8","1","13","0","0","0","3,704"
"Community Work Centers","279","23","202","132","2","2","0","1","1","1","0","0","643"
"Community Trusties","8","0","2","0","0","0","0","0","0","0","0","0","10"
"TVC","33","0","22","0","0","0","0","0","0","0","0","0","55"
"Transitional Housing","18","4","15","8","0","0","0","0","0","0","0","0","45"
"Pending File Review","71","1","46","9","1","1","1","0","1","0","0","0","131"
"RRP","20","4","29","23","0","1","0","0","0","0","0","0","77"
"Court Order","107","2","85","17","0","0","1","0","2","0","0","0","214"
"","11,445","509","6,065","900","162","15","29","4","51","2","3","2","19,187"
"Intensive Supervison Program","315","61","252","125","2","2","0","0","1","1","2","0","761"
"Earned Release Supervision","398","27","137","22","2","1","0","0","1","0","0","0","588"
"Medical Release","7","0","5","1","0","0","0","0","0","0","0","0","13"
"Other Custody","249","7","181","22","24","0","0","0","2","0","1","0","486"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","1","0","6"
"Off-Grounds Medical (Hospital)","7","1","4","1","0","0","0","0","0","0","0","0","13"
"TOTAL","12,439","605","6,653","1,074","193","18","29","4","55","3","7","2","21,082"
"% OF TOTAL OFFENDERS","59.00%","2.87%","31.56%","5.09%",".92%",".09%",".14%",".02%",".26%",".01%",".03%",".01%","100.00%"
