
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","16,356","","68.94%","","","1,275","","50.84%","","","17,631","","","67.21%","","",""
"White","7,057","","29.74%","","","1,203","","47.97%","","","8,260","","","31.49%","","",""
"Hispanic","235","","0.99%","","","51
6","","0.64%","","","251","","0.96%","","","",""
"Native American","24","","0.10%","","","","","0.20%","","","29","","0.11%","","","",""
"Asian","35","","0.15%","","","","","0.20%","","","40","","0.15%","","","",""
"Data Unavailable","19","","0.08%","","","5 4","","0.16%","","","23","","0.09%","","","",""
"TOTAL","23,726","","100.00%","","","2,508","","100.00%","","","26,234","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,733","","1","1,150","","0","28","0","2","","0","4","0","1","0","3,919"
"CMCF","1,277","","790","682","","680","24","10","1","","2","0","2","0","0","3,468"
"SMCI","2,102","","0","977","","0","46","0","2","","0","9","0","0","0","3,136"
"County Jails (approved)","701","","90","375","","103","14","1","3","","0","1","0","3","1","1,292"
"County Jails (unapproved)","164","","12","85","","18","4","0","0","","0","1","0","3","1","288"
"Private Prisons","4,120","","0","1,328","","0","28","0","7","","0","7","0","3","0","5,493"
"Regional Correctional Facilities","2,213","","0","835","","0","20","0","3","","0","5","0","0","0","3,076"
"Community Work Centers","1,076","","111","470","","137","14","0","4","","1","0","0","0","0","1,813"
"Community Trusties","12","","0","5","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","42","","9","19","","8","1","0","0","","0","0","0","0","0","79"
"Court Order","138","","8","92","","10","2","0","0","","0","0","0","0","0","250"
"","14,578","","1,021","6,018","","956","181","11","22","","3","27","2","10","2","22,831"
"Intensive Supervison Program","459","","133","407","","159","5","1","2","","1","3","2","5","1","1,178"
"Earned Release Supervision","1,130","","107","487","","72","5","1","0","","0","2","1","0","0","1,805"
"Medical Release","21","","3","13","","1","0","0","0","","0","0","0","0","0","38"
"Other Custody","131","","9","116","","13","41","3","0","","1","3","0","4","1","322"
"At Large","34","","2","14","","2","3","0","0","","0","0","0","0","0","55"
"Off-Grounds Medical (Hospital)","3","","0","2","","0","0","0","0","","0","0","0","0","0","5"
"TOTAL","16,356","","1,275","7,057","","1,203","235","16","24","","5","35","5","19","4","26,234"
"% OF TOTAL OFFENSES","62.35%","","4.86%","26.90%","","4.59%","0.90%","0.06%","0.09%","","0.02%","0.13%","0.02%","0.07%","0.02%","100.00%"
