
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""

,"",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,258","","0","1,052","","0","13","","0","5","","0","3","","0","0","0","","3,331"
"CMCF","1,273","","420","708","","475","15","","2","2","","3","3","","0","0","0","","2,901"
"SMCI","2,083","","0","1,087","","0","47","","0","5","","0","9","","0","0","0","","3,231"
"County Jails (approved)","864","","35","473","","40","8","","1","4","","1","1","","0","0","0","","1,427"
"County Jails (unapproved)","138","","8","82","","12","3","","0","1","","0","2","","0","0","0","","246"
"Youthful Offender Facility","24","","0","9","","0","0","","0","0","","0","0","","0","0","0","","33"
"Private Prisons","3,303","","0","1,042","","0","34","","0","9","","0","3","","0","1","0","","4,392"
"Regional Correctional Facilities","2,739","","142","1,316","","151","41","","3","4","","1","8","","1","0","0","","4,406"
"Community Work Centers","597","","50","373","","145","0","","2","3","","0","4","","0","0","0","","1,174"
"Community Trusties","8","","0","4","","0","0","","0","0","","0","0","","0","0","0","","12"
"Pending File Review","28","","9","23","","6","0","","0","0","","0","0","","0","0","0","","66"
"Court Order","166","","6","96","","26","1","","0","0","","0","3","","0","0","0","","298"
"","13,481","","670","6,265","","855","162","","8","33","","5","36","","1","1","0","","21,517"
"Intensive Supervison Program","624","","149","443","","233","5","","3","2","","0","4","","0","2","2","","1,467"
"Earned Release Supervision","1,034","","84","363","","95","4","","0","2","","0","4","","0","0","0","","1,586"
"Medical Release","16","","1","4","","2","0","","0","0","","0","0","","0","0","0","","23"
"Other Custody","226","","10","159","","30","47","","5","0","","1","3","","0","3","0","","484"
"At Large","17","","0","9","","2","3","","0","0","","0","0","","0","0","0","","31"
"Off-Grounds Medical (Hospital)","5","","0","1","","0","0","","0","0","","0","0","","0","0","0","","6"
"TOTAL","15,403","","914","7,244","","1,217","221","","16","37","","6","47","","1","6","2","","25,114"
"% OF TOTAL OFFENDERS","61.33%","","3.64%","28.84%","","4.85%",".88%","",".06%",".15%","",".02%",".19%","",".00%",".02%",".01%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","762","","742","","","163","","","1,178","","","486","","","","3,331",""
"CMCF","","","776","","955","","","147","","","712","","","311","","","","2,901",""
"SMCI","","","645","","784","","","172","","","1,086","","","544","","","","3,231",""
"County Jails (approved)","","","672","","584","","","26","","","85","","","60","","","","1,427",""
"Youthful Offender Facility","","","","","5","","","2","","","20","","","5","","","","33",""
"County Jails (unapproved)","","","7","","119","","","8","","","28","","","14","","","","246",""
"Private Prisons","","","527","","914","","","296","","","2,036","","","619","","","","4,392",""
"Regional Correctional Facilities","","","932","","1,076","","","341","","","1,244","","","813","","","","4,406",""
"Community Work Centers","","","696","","474","","","0","","","4","","","0","","","","1,174",""
"Community Trusties","","","10","","","","","0","","","0","","","0","","","","12",""
"Pending File Review","","","32","","9","","","0","","","5","","","0","","","","66",""
"Court Order","","","119","","123","","","5","","","38","","","13","","","","298",""
"TOTAL CUSTODY POPULATION","","","5,249","","5,807","","","1,160","","","6,436","","","2,865","","","","21,517",""
"% OF TOTAL OFFENSES","","","24.39%","","26.99%","","","5.39%","","","29.91%","","","13.32%","","","","100.00%",""
"Intensive Supervison Program","","","644","","761","","","13","","","44","","","5","","","","1,467",""
"Earned Release Supervision","","","479","","542","","","188","","","370","","","7","","","","1,586",""
"Medical Release","","","12","","7","","","1","","","3","","","","","","","23",""
"Other Custody","","","194","","179","","","10","","","76","","","5","","","","484",""
"At Large","","","","","8","","","","","","0","","","7","","","","31",""
"Off-Grounds Medical (Hospital)","","","","","","","","","","","1","","","1","","","","6",""
"TOTAL","","","6,585","","7,317","","","1,372","","","6,930","","","2,910","","","","25,114",""
"% OF TOTAL OFFENSES","","","26.22%","","29.14%","","","5.46%","","","27.60%","","","11.59%","","","","100.00%","1 7
6 1
2 2
31
0 0
0 2"
