"LOCATION","Black Male","","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,912","","2","1,399","0","17","0","3","0","1","0","0","0","5,334"
"CMCF","1,044","","820","578","489","8","5","4","2","1","3","0","0","2,954"
"SMCI","1,401","","0","604","0","17","0","1","0","5","0","0","0","2,028"
"County Jails (approved)","1,006","","50","549","40","17","2","2","0","1","0","0","0","1,667"
"County Jails (unapproved)","111","","5","82","10","0","0","2","0","2","0","0","0","212"
"Private Prisons","2,802","","0","860","0","6","0","3","0","1","0","0","0","3,672"
"Regional Correctional Facilities","1,679","","0","444","0","5","0","1","0","2","0","0","0","2,131"
"Community Work Centers","839","","78","319","67","4","0","2","0","1","0","1","0","1,311"
"Community Trusties","12","","0","6","0","0","0","0","0","0","0","0","0","18"
"","12,806","","955","4,841","606","74","7","18","2","14","3","1","0","19,327"
"Intensive Supervison Program","699","","115","500","156","4","1","2","1","2","1","0","0","1,481"
"Earned Release Supervision","729","","78","267","36","3","0","1","1","1","0","0","0","1,116"
"Medical Release","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","105","","7","110","14","4","0","0","0","0","1","0","0","241"
"At Large","53","","5","20","3","1","0","0","0","1","0","0","0","83"
"University of MS Medical Center","4","","0","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14,396","","1,160","5,740","815","86","8","21","4","18","5","1","0","22,254"
"% by Demographics","64.69%","","5.21%","25.79%","3.66%","0.39%","0.04%","0.09%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
