"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","15,204","","68.09%","","","","1,008","","","45.12%","","","","16,212","","","","66.00%"
"White","6,846","","30.66%","","","","1,199","","","53.67%","","","","8,045","","","","32.75%"
"Hispanic","213","",".95%","","","","17","","",".76%","","","","230","","","",".94%"
"Native American","28","",".13%","","","","","","",".36%","","","","36","","","",".15%"
"Asian","30","",".13%","","","","8 2 0","","",".09%","","","","32","","","",".13%"
"Data Unavailable","9","",".04%","","","","","","",".00%","","","","9","","","",".04%"
"TOTAL","22,330","","100.00%","","","","2,234","","","100.00%","","","","24,564","","","","100.00%"

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""


"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,594","","2","1,001","0","","21","0","","2","0","3","","0","1","0","3,624"
"CMCF","1,322","","572","695","597","","19","8","","4","4","4","","1","0","0","3,226"
"SMCI","1,990","","0","1,066","0","","44","0","","3","0","3","","0","0","0","3,106"
"County Jails (approved)","579","","52","344","70","","5","1","","0","0","0","","0","0","0","1,051"
"County Jails (unapproved)","200","","5","112","16","","4","0","","0","0","2","","0","1","0","340"
"Private Prisons","3,946","","0","1,311","0","","30","0","","6","0","3","","0","1","0","5,297"
"Regional Correctional Facilities","1,690","","35","737","25","","24","0","","6","0","7","","0","1","0","2,525"
"Community Work Centers","916","","78","428","159","","5","4","","1","2","0","","1","0","0","1,594"
"Community Trusties","11","","0","3","0","","0","0","","0","0","0","","0","0","0","14"
"Pending File Review","53","","7","35","18","","1","0","","0","0","1","","0","0","0","115"
"Court Order","136","","18","84","12","","2","0","","0","0","0","","0","0","0","252"
"","13,437","","769","5,816","897","","155","13","","22","6","23","","2","4","0","21,144"
"Intensive Supervison Program","608","","148","499","233","","10","0","","3","1","3","","0","1","0","1,506"
"Earned Release Supervision","952","","72","381","50","","5","1","","2","0","2","","0","0","0","1,465"
"Medical Release","22","","8","11","2","","0","0","","0","0","0","","0","0","0","43"
"Other Custody","155","","11","122","15","","39","3","","1","1","2","","0","4","0","353"
"At Large","24","","0","13","2","","3","0","","0","0","0","","0","0","0","42"
"Off-Grounds Medical (Hospital)","6","","0","4","0","","1","0","","0","0","0","","0","0","0","11"
"TOTAL","15,204","","1,008","6,846","1,199","","213","17","","28","8","30","","2","9","0","24,564"
"% OF TOTAL OFFENDERS","61.90%","","4.10%","27.87%","4.88%","",".87%",".07%","",".11%",".03%",".12%","",".01%",".04%",".00%","100.00%"
