
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","16,233","","68.83%","","","1,261","","51.09%","","","17,494","","","67.15%","","",""
"White","7,044","","29.87%","","","1,180","","47.81%","","","8,224","","","31.57%","","",""
"Hispanic","233","","0.99%","","","6","","0.65%","","","249","","0.96%","","","",""
"Native American","23","","0.10%","","","41","","0.16%","","","27","","0.10%","","","",""
"Asian","38","","0.16%","","","","","0.16%","","","42","","0.16%","","","",""
"Data Unavailable","14","","0.06%","","","4 3","","0.12%","","","17","","0.07%","","","",""
"TOTAL","23,585","","100.00%","","","2,468","","100.00%","","","26,053","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,858","","1","1,192","","1","32","0","2","","0","3","0","0","0","4,089"
"CMCF","1,291","","767","700","","662","23","10","2","","1","1","2","0","0","3,459"
"SMCI","2,067","","1","994","","0","51","0","2","","0","9","0","0","0","3,124"
"County Jails (approved)","626","","96","363","","101","11","2","1","","0","1","0","1","1","1,203"
"County Jails (unapproved)","105","","10","63","","16","1","0","0","","0","1","0","1","0","197"
"Private Prisons","4,108","","0","1,335","","0","31","0","8","","0","7","0","3","0","5,492"
"Regional Correctional Facilities","2,115","","0","795","","0","18","0","2","","0","6","0","0","0","2,936"
"Community Work Centers","1,028","","118","446","","132","13","0","3","","1","0","0","0","0","1,741"
"Community Trusties","16","","0","3","","0","0","0","0","","0","0","0","0","0","19"
"Pending File Review","73","","7","34","","7","0","0","0","","0","0","0","0","0","121"
"Court Order","179","","9","107","","21","1","0","0","","0","1","0","0","0","318"
"","14,466","","1,009","6,032","","940","181","12","20","","2","29","2","5","1","22,699"
"Intensive Supervison Program","454","","132","389","","151","4","0","1","","1","5","2","5","1","1,145"
"Earned Release Supervision","1,127","","104","477","","72","4","1","2","","0","1","0","0","0","1,788"
"Medical Release","20","","4","12","","1","0","0","0","","0","0","0","0","0","37"
"Other Custody","130","","9","118","","14","41","3","0","","1","3","0","4","1","324"
"At Large","33","","2","13","","2","3","0","0","","0","0","0","0","0","53"
"Off-Grounds Medical (Hospital)","3","","1","3","","0","0","0","0","","0","0","0","0","0","7"
"TOTAL","16,233","","1,261","7,044","","1,180","233","16","23","","4","38","4","14","3","26,053"
"% OF TOTAL OFFENSES","62.31%","","4.84%","27.04%","","4.53%","0.89%","0.06%","0.09%","","0.02%","0.15%","0.02%","0.05%","0.01%","100.00%"
