"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,204","0","1,476","0","37","0","6","0","8","0","0","0","5,731"
"CMCF","1,082","872","624","549","13","6","4","1","0","5","0","0","3,156"
"SMCI","1,397","0","716","0","18","0","4","0","6","0","0","0","2,141"
"County Jails (approved)","1,065","53","648","60","8","1","3","0","1","1","0","0","1,840"
"County Jails (unapproved)","121","6","106","21","0","0","0","0","1","0","0","0","255"
"Private Prisons","2,510","0","845","0","7","0","4","0","2","0","0","0","3,368"
"Regional Correctional Facilities","2,015","0","562","0","8","0","0","0","3","0","0","0","2,588"
"Community Work Centers","817","85","322","70","5","0","2","0","1","0","1","0","1,303"
"Community Trusties","16","0","9","0","1","0","0","0","0","0","0","0","26"
"","13,227","1,016","5,308","700","97","7","23","1","22","6","1","0","20,408"
"Intensive Supervison Program","605","120","478","170","4","1","3","0","2","2","0","0","1,385"
"Earned Release Supervision","751","76","262","35","2","0","1","1","0","0","0","0","1,128"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","94","3","93","9","4","0","0","0","0","0","0","0","203"
"At Large","87","8","41","9","1","0","0","0","0","1","0","0","147"
"University of MS Medical Center","5","2","1","2","1","0","0","0","0","0","0","0","11"
"TOTAL","14,769","1,225","6,183","925","109","8","27","2","24","9","1","0","23,282"
"% of Total Offenses","63.44%","5.26%","26.56%","3.97%","0.47%","0.03%","0.12%","0.01%","0.10%","0.04%","0.00%","0.00%","100.00%"
