"Off-Grounds Medical (Hospital)","","","","00","","12","","","0.06%","","","","",""
"At Large (Escapees & Walk-Aways)","","","","0","","26","","","0.12%","","","","",""
"TOTAL","","","","23,881","","21,078","","","100.00%","","","","",""
"","","","% OF","","","% OF","","","","","% OF","","",""
"","","TOTAL MALE","","","","TOTAL FEMALE","","NO. OF","","","TOTAL","","",""

"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OFFENDERS","% OF TOTAL OFFENDERS"

"Black","12,383","","64.00%","607","","35.09%","","12,990","","","61.63%","","",""
"White","6,670","","34.47%","1,093","","63.18%","","7,763","","","36.83%","","",""
"Hispanic","202","","1.04%","19","","1.10%","","221","","","1.05%","","",""
"Native American","30","",".16%","5","",".29%","","35","","",".17%","","",""
"Asian","57","",".29%","4","",".23%","","61","","",".29%","","",""
"Data Unavailable","6","",".03%","2","",".12%","","8","","",".04%","","",""
"TOTAL","19,348","","100.00%","1,730","","100.00%","","21,078","","","100.00%","","",""
"","","Black","White","","","Hispanic","","Native American","","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,263","0","947","0","27","0","3","","0","8","0","2","0","3,250"
"CMCF","1,528","377","1,097","610","31","9","8","","3","16","2","1","2","3,684"
"SMCI","1,946","0","1,051","0","35","0","1","","0","5","0","0","0","3,038"
"County Jails (approved)","359","0","332","7","4","0","0","","0","2","0","1","0","705"
"County Jails (unapproved)","246","15","150","32","2","1","1","","0","2","0","0","0","449"
"Youthful Offender Facility","34","0","2","0","0","0","0","","0","0","0","0","0","36"
"Private Prisons","2,298","0","890","0","19","0","8","","0","3","0","0","0","3,218"
"Regional Correctional Facilities","2,178","82","1,217","109","45","2","6","","1","12","0","0","0","3,652"
"Community Work Centers","283","24","209","115","3","3","1","","1","2","1","0","0","642"
"Community Trusties","3","0","2","0","0","0","0","","0","0","0","0","0","5"
"TVC","25","1","18","0","0","0","0","","0","0","0","0","0","44"
"Transitional Housing","6","1","8","7","1","0","0","","0","0","0","0","0","23"
"Pending File Review","86","5","56","15","0","0","1","","0","1","0","0","0","164"
"RRP","30","6","37","24","0","1","0","","0","0","0","0","0","98"
"Court Order","116","5","90","12","2","0","0","","0","1","0","0","0","226"
"","11,401","516","6,106","931","169","16","29","","5","52","3","4","2","19,234"
"Intensive Supervison Program","325","58","239","116","4","2","1","","0","2","1","1","0","749"
"Earned Release Supervision","399","27","135","24","1","1","0","","0","1","0","0","0","588"
"Medical Release","8","0","6","1","0","0","0","","0","0","0","0","0","15"
"Other Custody","226","5","168","18","25","0","0","","0","2","0","1","0","445"
"At Large","15","0","6","2","3","0","0","","0","0","0","0","0","26"
"Conditional Release","1","0","1","1","0","0","0","","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","6","1","5","0","0","0","0","","0","0","0","0","0","12"
"TOTAL","12,383","607","6,670","1,093","202","19","30","","5","57","4","6","2","21,078"
"% OF TOTAL OFFENDERS","58.75%","2.88%","31.64%","5.19%",".96%",".09%",".14%","",".02%",".27%",".02%",".03%",".01%","100.00%"
