"Off-Grounds Medical (Hospital)","","","","0","","9","","0.04%","","","","",""
"At Large (Escapees & Walk-Aways)","","","","0","","28","","0.13%","","","","",""
"TOTAL","","","","23,881","","20,938","","100.00%","","","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","",""
"","","","% OF","","","% OF","","","","% OF","","",""
"","","TOTAL MALE","","","","TOTAL FEMALE","","NO. OF","","TOTAL","","",""
"RACE","MALE","POPULATION","","FEMALE","","POPULATION","","OFFENDERS","","OFFENDERS","","",""
"Black","12,321","","64.13%","614","","35.61%","","12,935","","61.78%","","",""
"White","6,610","","34.40%","1,085","","62.94%","","7,695","","36.75%","","",""
"Hispanic","203","","1.06%","13","",".75%","","216","","1.03%","","",""
"Native American","26","",".14%","5","",".29%","","31","",".15%","","",""
"Asian","43","",".22%","4","",".23%","","47","",".22%","","",""
"Data Unavailable","11","",".06%","3","",".17%","","14","",".07%","","",""
"TOTAL","19,214","","100.00%","1,724","","100.00%","","20,938","","100.00%","","",""
"","","Black","White","","","Hispanic","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,325","0","1,037","0","31","0","3","0","4","0","1","0","3,401"
"CMCF","1,399","376","1,073","566","22","6","4","4","8","2","1","1","3,462"
"SMCI","1,733","0","886","0","32","0","1","0","4","0","1","0","2,657"
"County Jails (approved)","339","1","300","19","6","0","0","0","2","0","2","1","670"
"County Jails (unapproved)","183","16","116","33","3","0","0","0","3","0","3","0","357"
"Youthful Offender Facility","28","0","3","0","1","0","0","0","0","0","0","0","32"
"Private Prisons","2,277","0","860","0","19","0","7","0","3","0","1","0","3,167"
"Regional Correctional Facilities","2,532","77","1,389","116","50","2","7","0","12","0","1","0","4,186"
"Community Work Centers","304","26","205","120","2","3","2","1","0","1","0","0","664"
"Community Trusties","3","0","3","0","0","0","0","0","0","0","0","0","6"
"TVC","7","0","12","0","0","0","0","0","0","0","0","0","19"
"Transitional Housing","14","4","14","9","0","0","0","0","0","0","0","0","41"
"Pending File Review","58","2","40","3","0","0","0","0","1","0","0","0","104"
"RRP","34","5","40","27","0","0","0","0","0","0","0","0","106"
"Court Order","132","2","86","13","0","0","0","0","2","0","0","0","235"
"","11,368","509","6,064","906","166","11","24","5","39","3","10","2","19,107"
"Intensive Supervison Program","285","68","232","129","5","1","2","0","1","1","0","1","725"
"Earned Release Supervision","422","29","121","27","0","1","0","0","1","0","0","0","601"
"Medical Release","9","0","5","1","0","0","0","0","0","0","0","0","15"
"Other Custody","213","8","174","18","29","0","0","0","2","0","1","0","445"
"At Large","16","0","7","2","3","0","0","0","0","0","0","0","28"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","5","0","3","1","0","0","0","0","0","0","0","0","9"
"TOTAL","12,321","614","6,610","1,085","203","13","26","5","43","4","11","3","20,938"
"% OF TOTAL OFFENDERS","58.85%","2.93%","31.57%","5.18%",".97%",".06%",".12%",".02%",".21%",".02%",".05%",".01%","100.00%"
