"TOTAL
18,900","","100.00%","","","1,705","","100.00%","","","20,605","","","","100.00%"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,148","","0","1,119","1","25","0","1","0","8","0","1","0","3,303"
"CMCF","1,409","","363","848","534","17","7","6","2","5","1","0","1","3,193"
"SMCI","1,979","","0","986","0","25","0","1","0","4","0","0","0","2,995"
"County Jails (approved)","371","","6","320","23","4","0","1","0","2","0","1","0","728"
"County Jails (unapproved)","171","","6","128","11","2","0","0","0","1","0","0","1","320"
"Youthful Offender Facility","25","","0","1","0","1","0","0","0","0","0","0","0","27"
"Private Prisons","2,206","","0","815","0","22","0","6","0","2","0","0","0","3,051"
"Regional Correctional Facilities","2,317","","103","1,171","124","50","3","6","0","12","0","0","0","3,786"
"Community Work Centers","354","","34","237","118","4","4","2","0","3","1","0","0","757"
"Community Trusties","21","","0","14","0","0","0","0","0","1","0","0","0","36"
"TVC","0","","2","0","0","0","0","0","0","0","0","0","0","2"
"Transitional Housing","3","","0","1","0","0","0","0","0","0","0","0","0","4"
"Pending File Review","51","","3","39","4","1","0","1","0","1","0","0","0","100"
"Court Order","164","","5","111","15","1","0","0","0","0","0","0","0","296"
"","11,219","","522","5,790","830","152","14","24","2","39","2","2","2","18,598"
"Intensive Supervison Program","299","","70","231","137","2","2","2","1","2","0","2","1","749"
"Earned Release Supervision","427","","39","123","34","3","0","0","0","0","0","0","0","626"
"Medical Release","6","","0","4","1","0","0","0","0","0","0","0","0","11"
"Other Custody","214","","10","202","23","27","1","0","0","4","0","1","0","482"
"At Large","16","","0","7","2","3","0","0","0","0","0","0","1","29"
"Bond Monitoring","2","","0","0","0","0","0","0","0","0","0","1","0","3"
"Contempt","0","","0","1","0","0","0","0","0","0","0","0","0","1"
"Conditional Release","1","","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","","0","4","0","0","0","0","0","0","0","0","0","6"
"RRP","42","","3","40","7","0","0","0","0","0","0","0","0","92"
"Off-Grounds Medical (Hospital)","3","","0","2","0","0","0","0","0","0","0","0","0","5"
"TOTAL","12,231","","644","6,405","1,035","187","17","26","3","45","2","6","4","20,605"
"% OF TOTAL OFFENDERS","59.36%","","3.13%","31.08%","5.02%",".91%",".08%",".13%",".01%",".22%",".01%",".03%",".02%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","",""
