
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,364","","68.79%","","","1,200","","50.91%","","","16,564","","","67.08%","","",""
"White","6,737","","30.16%","","","1,132","","48.03%","","","7,869","","","31.87%","","",""
"Hispanic","157","","0.70%","","","2","","0.51%","","","169","","0.68%","","","",""
"Native American","23","","0.10%","","","31","","0.13%","","","26","","0.11%","","","",""
"Asian","39","","0.17%","","","","","0.30%","","","46","","0.19%","","","",""
"Data Unavailable","16","","0.07%","","","7 3","","0.13%","","","19","","0.08%","","","",""
"TOTAL","22,336","","100.00%","","","2,357","","100.00%","","","24,693","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,098","","0","1,187","","0","31","0","5","","0","6","0","0","0","4,327"
"CMCF","1,067","","729","607","","621","9","8","2","","2","0","5","1","0","3,051"
"SMCI","1,440","","0","688","","0","26","0","2","","0","8","0","0","0","2,164"
"County Jails (approved)","644","","55","503","","76","10","2","0","","1","3","0","2","2","1,298"
"County Jails (unapproved)","33","","2","22","","4","1","0","0","","0","1","0","1","0","64"
"Private Prisons","3,644","","0","1,151","","0","21","0","7","","0","10","0","0","0","4,833"
"Regional Correctional Facilities","2,178","","0","732","","0","21","0","0","","0","4","0","1","0","2,936"
"Community Work Centers","973","","117","473","","106","5","1","1","","0","3","0","1","0","1,680"
"Community Trusties","9","","0","8","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","3","","1","2","","3","0","0","0","","0","0","0","0","0","9"
"Court Order","161","","14","140","","37","1","0","2","","0","0","1","0","0","356"
"","13,250","","918","5,513","","847","125","11","19","","3","35","6","6","2","20,735"
"Intensive Supervison Program","686","","146","596","","203","5","1","2","","0","4","1","8","1","1,653"
"Earned Release Supervision","1,223","","123","469","","62","4","0","2","","0","0","0","0","0","1,883"
"Medical Release","4","","0","3","","1","0","0","0","","0","0","0","0","0","8"
"Other Custody","132","","9","120","","12","20","0","0","","0","0","0","2","0","295"
"At Large","69","","2","34","","4","3","0","0","","0","0","0","0","0","112"
"Off-Grounds Medical (Hospital)","0","","2","2","","3","0","0","0","","0","0","0","0","0","7"
"TOTAL","15,364","","1,200","6,737","","1,132","157","12","23","","3","39","7","16","3","24,693"
"% OF TOTAL OFFENSES","62.22%","","4.86%","27.28%","","4.58%","0.64%","0.05%","0.09%","","0.01%","0.16%","0.03%","0.06%","0.01%","100.00%"
