"TOTAL
20,580","","100.00%","","1,665","","100.00%","22,245","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","Black","White","","Hispanic","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,296","0","1,062
0","","13
0","1
0","4
0","0
0
3,376"
"CMCF","1,494","443","808
515","","28
5","5
1","6
0","2
0
3,307"
"SMCI","2,136","0","986
0","","49
0","4
0","7
0","0
0
3,182"
"County Jails (approved)","823","32","539
52","","4
0","5
0","4
0","1
0
1,460"
"County Jails (unapproved)","247","14","153
16","","2
0","1
1","3
0","7
0
444"
"Private Prisons","3,206","0","1,031
0","","24
0","2
0","4
0","0
0
4,267"
"Regional Correctional Facilities","2,686","141","1,309
159","","38
1","2
1","8
0","2
0
4,347"
"Community Work Centers","803","75","438
165","","5
1","1
0","2
0","0
0
1,490"
"Community Trusties","10","0","3
0","","0
0","0
0","0
0","0
0
13"
"Pending File Review","7","0","6
5","","2
0","0
0","0
0","0
0
20"
"Court Order","175","10","125
27","","1
0","0
1","0
0","0
0
339"
"","13,883","715","6,460
939","","166
7","21
4","38
0","12
0
22,245"
"Intensive Supervison Program","648","168","540
281","","6
1","2
0","3
1","4
0
1,654"
"Earned Release Supervision","1,021","92","429
79","","5
0","0
0","1
1","0
0
1,628"
"Medical Release","17","1","6
1","","0
0","0
0","0
0","0
0
25"
"Other Custody","203","11","160
20","","43
5","0
1","2
0","4
0
449"
"At Large","21","0","8
2","","3
0","0
0","0
0","0
0
34"
"Off-Grounds Medical (Hospital)","7","2","2
1","","0
0","0
0","0
0","0
0
12"
"TOTAL","15,800","989","7,605
1,323","","223
13","23
5","44
2","20
0
26,047"
"% OF TOTAL OFFENDERS","60.66%","3.80%","29.20%
5.08%","",".86%
.05%",".09%
.02%",".17%
.01%",".08%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","","",""
"","","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","778","769","","155","1,204","470","3,376"
"CMCF","","903","1,089","","183","791","341","3,307"
"SMCI","","701","825","","180","973","503","3,182"
"County Jails (approved)","","743","613","","17","54","33","1,460"
"County Jails (unapproved)","","132","213","","18","57","24","444"
"Private Prisons","","434","855","","265","2,078","635","4,267"
"Regional Correctional Facilities","","988","1,068","","301","1,205","785","4,347"
"Community Work Centers","","921","564","","1","4","0","1,490"
"Community Trusties","","","","","0","0","0","13"
"Pending File Review","","9 1
1","4 5","","1","3","0","20"
"Court Order","","121","157","","5","38","18","339"
"TOTAL CUSTODY POPULATION","","5,741","6,162","","1,126","6,407","2,809","22,245"
"% OF TOTAL OFFENSES","","25.81%","27.70%","","5.06%","28.80%","12.63%","100.00%"
"Intensive Supervison Program","","809","772","","19","46","8","1,654"
"Earned Release Supervision","","508","512","","196","410","2","1,628"
"Medical Release","","12","7","","3","3","","25"
"Other Custody","","197","162","","12","59","0 1
9","449"
"At Large","","","0","","0","7","","34"
"Off-Grounds Medical (Hospital)","","7 3","42","","1","3","0 1","12"
"TOTAL","","7,277","7,639","","1,357","6,935","2,839","26,047"
"% OF TOTAL OFFENSES","","27.94%","29.33%","","5.21%","26.63%","10.90%","100.00%"
