"Off-Grounds Medical (Hospital)","","","0","","","","","","11","","","","","","","0.05%"
"At Large (Escapees & Walk-Aways)","","","0","","","","","","30","","","","","","","0.15%"
"TOTAL","","","23,881","","","","","","20,652","","","","","","","100.00%"

"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,192","0","1,122","1","","23","0","1","","0","6","","0","0","0","3,345"
"CMCF","1,370","366","884","522","","19","4","4","","2","7","","3","1","1","3,183"
"SMCI","1,991","0","1,013","28","","0","2","0","","4","0","","0","0","0","3,038"
"County Jails (approved)","359","4","297","31","","6","0","0","","0","1","","0","1","0","699"
"County Jails (unapproved)","189","6","131","21","","8","0","2","","1","0","","0","1","1","360"
"Youthful Offender Facility","27","0","3","0","","1","0","0","","0","0","","0","0","0","31"
"Private Prisons","2,260","0","825","0","","24","0","6","","0","2","","0","0","0","3,117"
"Regional Correctional Facilities","2,318","88","1,222","124","","46","4","7","","0","13","","0","1","0","3,823"
"Community Work Centers","318","36","216","128","","4","4","1","","0","2","","0","0","0","709"
"Community Trusties","24","0","22","0","","0","0","0","","0","1","","0","0","0","47"
"TVC","0","3","0","4","","0","0","0","","0","0","","1","0","0","8"
"Transitional Housing","16","0","10","4","","0","0","0","","0","0","","0","0","0","30"
"Pending File Review","27","1","20","2","","0","0","0","","0","1","","0","0","0","51"
"RRP","40","4","43","9","","1","0","0","","0","1","","0","0","0","98"
"Court Order","134","2","86","11","","1","0","0","","0","2","","0","0","0","236"
"","11,265","510","5,894","885","","133","14","21","","7","36","","4","4","2","18,775"
"Intensive Supervison Program","276","67","217","141","","4","3","2","","1","2","","0","2","0","715"
"Earned Release Supervision","442","41","127","29","","1","1","0","","0","0","","0","0","0","641"
"Medical Release","7","0","4","1","","0","0","0","","0","0","","0","0","0","12"
"Other Custody","209","7","192","19","","26","1","0","","3","0","","1","1","0","459"
"At Large","17","0","7","2","","3","0","0","","0","0","","0","1","0","30"
"Conditional Release","1","0","1","1","","0","0","0","","0","0","","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","","0","0","0","","0","0","","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","0","2","2","","0","0","0","","0","0","","0","0","0","11"
"TOTAL","12,226","625","6,448","1,080","","167","19","23","","11","38","","5","8","2","20,652"
"% OF TOTAL OFFENDERS","59.20%","3.03%","31.22%","5.23%","",".81%",".09%",".11%","",".05%",".18%","",".02%",".04%",".01%","100.00%"
