"Off-Grounds Medical (Hospital)","","","0","","","","","","14","","","","","","","0.07%"
"At Large (Escapees & Walk-Aways)","","","0","","","","","","29","","","","","","","0.14%"
"TOTAL","","","23,881","","","","","","20,738","","","","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"

"RACE","MALE","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,275","64.36%","","","","602","","","36.13%","","","","12,877","","","","62.09%"
"White","6,525","34.21%","","","","1,041","","","62.48%","","","","7,566","","","","36.48%"
"Hispanic","199","1.04%","","","","11","","",".66%","","","","210","","","","1.01%"
"Native American","26",".14%","","","","6","","",".36%","","","","32","","","",".15%"
"Asian","37",".19%","","","","5","","",".30%","","","","42","","","",".20%"
"Data Unavailable","10",".05%","","","","1","","",".06%","","","","11","","","",".05%"
"TOTAL","19,072","100.00%","","","","1,666","","","100.00%","","","","20,738","","","","100.00%"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,312","0","1,017","0","","31","0","2","","0","4","","0","0","0","3,366"
"CMCF","1,340","324","970","526","","26","3","6","","3","4","","3","3","1","3,209"
"SMCI","1,727","0","901","0","","28","0","0","","0","4","","0","0","0","2,660"
"County Jails (approved)","327","5","273","26","","4","0","0","","1","1","","0","2","0","639"
"County Jails (unapproved)","153","9","121","23","","1","0","0","","1","2","","0","1","0","311"
"Youthful Offender Facility","21","0","4","0","","1","0","0","","0","0","","0","0","0","26"
"Private Prisons","2,286","0","874","0","","18","0","7","","0","2","","0","1","0","3,188"
"Regional Correctional Facilities","2,639","89","1,432","132","","48","3","7","","1","13","","0","1","0","4,365"
"Community Work Centers","295","27","207","108","","4","3","2","","0","0","","1","0","0","647"
"Community Trusties","20","0","19","0","","0","0","0","","0","1","","0","0","0","40"
"TVC","0","16","0","5","","0","0","0","","0","0","","0","0","0","21"
"Transitional Housing","16","1","11","5","","0","0","0","","0","0","","0","0","0","33"
"Pending File Review","53","3","31","1","","2","0","0","","0","1","","0","0","0","91"
"RRP","37","8","40","18","","1","0","0","","0","0","","0","0","0","104"
"Court Order","128","6","97","13","","0","0","0","","0","1","","0","0","0","245"
"","11,354","488","5,997","857","","164","9","24","","6","33","","4","8","1","18,945"
"Intensive Supervison Program","278","75","211","128","","3","1","1","","0","1","","1","1","0","700"
"Earned Release Supervision","395","32","117","31","","1","1","0","","0","1","","0","0","0","578"
"Medical Release","7","0","5","1","","0","0","0","","0","0","","0","0","0","13"
"Other Custody","214","7","178","19","","28","0","1","","0","2","","0","1","0","450"
"At Large","17","0","7","2","","3","0","0","","0","0","","0","0","0","29"
"Conditional Release","1","0","1","2","","0","0","0","","0","0","","0","0","0","4"
"Failure to Report-Monitoring","2","0","3","0","","0","0","0","","0","0","","0","0","0","5"
"Off-Grounds Medical (Hospital)","7","0","6","1","","0","0","0","","0","0","","0","0","0","14"
"TOTAL","12,275","602","6,525","1,041","","199","11","26","","6","37","","5","10","1","20,738"
"% OF TOTAL OFFENDERS","59.19%","2.90%","31.46%","5.02%","",".96%",".05%",".13%","",".03%",".18%","",".02%",".05%",".00%","100.00%"
