
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,392","","68.74%","","","1,189","","51.07%","","","16,581","","","67.08%","","",""
"White","6,763","","30.21%","","","1,115","","47.90%","","","7,878","","","31.87%","","",""
"Hispanic","151","","0.67%","","","1","","0.47%","","","162","","0.66%","","","",""
"Native American","26","","0.12%","","","31","","0.13%","","","29","","0.12%","","","",""
"Asian","38","","0.17%","","","","","0.30%","","","45","","0.18%","","","",""
"Data Unavailable","20","","0.09%","","","7 3","","0.13%","","","23","","0.09%","","","",""
"TOTAL","22,390","","100.00%","","","2,328","","100.00%","","","24,718","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,201","","0","1,243","","0","34","0","5","","0","5","0","1","0","4,489"
"CMCF","1,052","","732","572","","616","10","8","4","","1","1","5","1","0","3,002"
"SMCI","1,415","","0","685","","0","24","0","2","","0","9","0","0","0","2,135"
"County Jails (approved)","673","","50","481","","72","8","1","0","","2","3","0","5","1","1,296"
"County Jails (unapproved)","22","","0","16","","2","0","0","0","","0","0","0","0","0","40"
"Private Prisons","3,648","","0","1,172","","0","19","0","7","","0","10","0","0","0","4,856"
"Regional Correctional Facilities","2,085","","0","716","","0","19","0","1","","0","3","0","0","0","2,824"
"Community Work Centers","968","","111","474","","99","5","1","1","","0","3","0","1","0","1,663"
"Community Trusties","7","","0","7","","0","0","0","0","","0","0","0","0","0","14"
"Pending File Review","32","","2","13","","3","0","0","0","","0","0","0","0","0","50"
"Court Order","189","","13","157","","35","0","0","2","","0","1","1","0","0","398"
"","13,292","","908","5,536","","827","119","10","22","","3","35","6","8","1","20,767"
"Intensive Supervison Program","694","","142","598","","203","5","1","2","","0","3","1","10","2","1,661"
"Earned Release Supervision","1,203","","128","473","","67","4","0","2","","0","0","0","0","0","1,877"
"Medical Release","3","","0","3","","1","0","0","0","","0","0","0","0","0","7"
"Other Custody","131","","9","120","","12","20","0","0","","0","0","0","2","0","294"
"At Large","66","","2","30","","4","3","0","0","","0","0","0","0","0","105"
"Off-Grounds Medical (Hospital)","3","","0","3","","1","0","0","0","","0","0","0","0","0","7"
"TOTAL","15,392","","1,189","6,763","","1,115","151","11","26","","3","38","7","20","3","24,718"
"% OF TOTAL OFFENSES","62.27%","","4.81%","27.36%","","4.51%","0.61%","0.04%","0.11%","","0.01%","0.15%","0.03%","0.08%","0.01%","100.00%"
