"TOTAL","19,493","","100.00%","1,690","","100.00%","","21,183","","100.00%","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,273","0","962","0","26","0","2","0","10","0","2","0","3,275"
"CMCF","1,523","389","1,048","561","25","6","1","1","6","1","0","1","3,562"
"SMCI","1,695","0","932","0","25","0","3","0","4","0","0","0","2,659"
"County Jails (approved)","374","4","322","6","6","0","0","0","2","0","1","0","715"
"County Jails (unapproved)","212","12","173","31","2","0","0","0","1","0","0","0","431"
"Youthful Offender Facility","30","0","3","0","0","0","0","0","0","0","0","0","33"
"Private Prisons","2,270","0","871","0","18","0","8","0","3","0","0","0","3,170"
"Regional Correctional Facilities","2,623","63","1,385","103","55","2","9","0","13","0","0","0","4,253"
"Community Work Centers","293","24","198","133","3","2","1","2","3","0","0","0","659"
"Community Trusties","6","0","1","0","0","0","0","0","0","0","0","0","7"
"TVC","42","0","29","0","0","0","0","0","0","0","0","0","71"
"Transitional Housing","15","2","6","6","0","0","0","0","0","0","0","0","29"
"Pending File Review","40","7","25","12","1","0","0","0","1","1","0","0","87"
"RRP","19","2","26","21","0","1","0","0","0","0","0","0","69"
"Court Order","120","6","96","14","0","0","0","0","2","0","0","0","238"
"","11,535","509","6,077","887","161","11","24","3","45","2","3","1","19,258"
"Intensive Supervison Program","328","70","268","123","2","1","0","0","1","1","1","0","795"
"Earned Release Supervision","396","28","132","20","1","2","0","1","1","0","0","0","581"
"Medical Release","6","0","8","1","0","0","0","0","0","0","0","0","15"
"Other Custody","246","5","184","21","30","0","1","0","2","0","1","0","490"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","3","0","6","1","0","0","0","0","0","0","0","0","10"
"TOTAL","12,532","612","6,685","1,056","197","14","25","4","49","3","5","1","21,183"
"% OF TOTAL OFFENDERS","59.16%","2.89%","31.56%","4.99%",".93%",".07%",".12%",".02%",".23%",".01%",".02%",".00%","100.00%"
