
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,652","","68.65%","","","1,213","","49.51%","","","16,865","","","66.79%","","",""
"White","6,869","","30.13%","","","1,210","","49.39%","","","8,079","","","31.99%","","",""
"Hispanic","187","","0.82%","","","5","","0.61%","","","202","","0.80%","","","",""
"Native American","27","","0.12%","","","41","","0.16%","","","31","","0.12%","","","",""
"Asian","37","","0.16%","","","","","0.20%","","","42","","0.17%","","","",""
"Data Unavailable","29","","0.13%","","","5 3","","0.12%","","","32","","0.13%","","","",""
"TOTAL","22,801","","100.00%","","","2,450","","100.00%","","","25,251","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,278","","1","1,184","","0","33","0","5","","0","5","0","0","0","4,506"
"CMCF","1,209","","753","692","","670","11","6","4","","1","1","5","1","0","3,353"
"SMCI","1,450","","0","764","","0","28","0","2","","0","5","0","1","0","2,250"
"County Jails (approved)","733","","65","492","","75","10","4","1","","3","3","0","10","0","1,396"
"County Jails (unapproved)","64","","1","24","","5","1","0","0","","0","0","0","3","0","98"
"Private Prisons","3,622","","0","1,176","","0","25","0","3","","0","8","0","4","0","4,838"
"Regional Correctional Facilities","2,199","","0","840","","0","19","0","3","","0","6","0","1","0","3,068"
"Community Work Centers","1,041","","105","486","","105","11","1","4","","0","3","0","0","0","1,756"
"Community Trusties","14","","0","3","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","23","","1","4","","6","0","0","0","","0","0","0","0","0","34"
"Court Order","152","","8","115","","34","0","0","1","","0","0","0","0","0","310"
"","13,785","","934","5,780","","895","138","11","23","","4","31","5","20","0","21,626"
"Intensive Supervison Program","581","","163","527","","216","11","1","2","","0","1","0","7","2","1,511"
"Earned Release Supervision","1,082","","102","417","","81","3","2","2","","0","1","0","0","0","1,690"
"Medical Release","4","","0","4","","0","0","0","0","","0","0","0","0","0","8"
"Other Custody","122","","7","114","","13","30","1","0","","0","3","0","2","1","293"
"At Large","74","","5","22","","4","5","0","0","","0","1","0","0","0","111"
"Off-Grounds Medical (Hospital)","4","","2","5","","1","0","0","0","","0","0","0","0","0","12"
"TOTAL","15,652","","1,213","6,869","","1,210","187","15","27","","4","37","5","29","3","25,251"
"% OF TOTAL OFFENSES","61.99%","","4.80%","27.20%","","4.79%","0.74%","0.06%","0.11%","","0.02%","0.15%","0.02%","0.11%","0.01%","100.00%"
