
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,872","","68.72%","","","1,238","","49.26%","","","17,110","","","66.81%","","",""
"White","6,920","","29.96%","","","1,249","","49.70%","","","8,169","","","31.90%","","",""
"Hispanic","207","","0.90%","","","51
3","","0.52%","","","220","","0.86%","","","",""
"Native American","20","","0.09%","","","","","0.20%","","","25","","0.10%","","","",""
"Asian","48","","0.21%","","","3 5","","0.12%","","","51","","0.20%","","","",""
"Data Unavailable","31","","0.13%","","","","","0.20%","","","36","","0.14%","","","",""
"TOTAL","23,098","","100.00%","","","2,513","","100.00%","","","25,611","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,165","","2","1,145","","0","35","0","1","","0","6","0","0","0","4,354"
"CMCF","1,262","","802","690","","698","16","6","3","","2","6","2","1","0","3,488"
"SMCI","1,908","","0","981","","0","44","0","2","","0","10","0","0","0","2,945"
"County Jails (approved)","693","","72","431","","80","6","2","1","","0","3","0","13","0","1,301"
"County Jails (unapproved)","108","","8","68","","27","4","0","0","","0","0","0","1","1","217"
"Private Prisons","3,605","","0","1,130","","0","25","0","5","","0","7","0","4","0","4,776"
"Regional Correctional Facilities","2,161","","0","845","","0","18","0","2","","0","7","0","0","0","3,033"
"Community Work Centers","1,044","","106","503","","116","10","0","1","","2","2","0","1","0","1,785"
"Community Trusties","14","","0","4","","0","0","0","0","","0","0","0","0","0","18"
"Pending File Review","57","","2","22","","4","2","0","0","","0","0","0","0","0","87"
"Court Order","152","","10","97","","34","1","0","2","","0","0","0","0","0","296"
"","14,169","","1,002","5,916","","959","161","8","17","","4","41","2","20","1","22,300"
"Intensive Supervison Program","444","","126","404","","194","5","2","1","","1","0","1","7","3","1,188"
"Earned Release Supervision","1,070","","97","450","","79","5","0","2","","0","2","0","0","0","1,705"
"Medical Release","6","","1","7","","0","0","0","0","","0","0","0","0","0","14"
"Other Custody","129","","10","122","","15","31","3","0","","0","4","0","4","1","319"
"At Large","48","","2","17","","2","5","0","0","","0","1","0","0","0","75"
"Off-Grounds Medical (Hospital)","6","","0","4","","0","0","0","0","","0","0","0","0","0","10"
"TOTAL","15,872","","1,238","6,920","","1,249","207","13","20","","5","48","3","31","5","25,611"
"% OF TOTAL OFFENSES","61.97%","","4.83%","27.02%","","4.88%","0.81%","0.05%","0.08%","","0.02%","0.19%","0.01%","0.12%","0.02%","100.00%"
