
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","16,481","","68.83%","","","1,304","","50.46%","","","17,785","","","67.04%","","",""
"White","7,155","","29.88%","","","1,249","","48.34%","","","8,404","","","31.68%","","",""
"Hispanic","230","","0.96%","","","6","","0.62%","","","246","","0.93%","","","",""
"Native American","23","","0.10%","","","51","","0.19%","","","28","","0.11%","","","",""
"Asian","34","","0.14%","","","","","0.23%","","","40","","0.15%","","","",""
"Data Unavailable","21","","0.09%","","","6 4","","0.15%","","","25","","0.09%","","","",""
"TOTAL","23,944","","100.00%","","","2,584","","100.00%","","","26,528","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,693","","0","1,116","","1","28","0","1","","0","5","0","1","0","3,845"
"CMCF","1,391","","799","765","","687","22","10","1","","2","1","2","0","0","3,680"
"SMCI","2,064","","0","975","","0","46","0","3","","0","9","0","0","0","3,097"
"County Jails (approved)","664","","97","370","","106","12","1","0","","0","0","0","6","0","1,256"
"County Jails (unapproved)","99","","6","68","","18","4","0","0","","0","0","0","2","1","198"
"Private Prisons","4,196","","0","1,309","","0","28","0","7","","0","6","0","3","0","5,549"
"Regional Correctional Facilities","2,212","","0","838","","0","19","0","3","","0","5","0","0","0","3,077"
"Community Work Centers","1,069","","106","487","","140","12","0","4","","1","0","0","0","0","1,819"
"Community Trusties","13","","0","5","","0","0","0","0","","0","0","0","0","0","18"
"Pending File Review","70","","9","34","","11","0","0","0","","0","0","0","0","0","124"
"Court Order","198","","15","124","","26","2","0","0","","0","1","0","0","0","366"
"","14,669","","1,032","6,091","","989","173","11","19","","3","27","2","12","1","23,029"
"Intensive Supervison Program","481","","144","410","","164","8","1","3","","1","3","3","5","2","1,225"
"Earned Release Supervision","1,144","","115","508","","79","5","1","1","","0","1","1","0","0","1,855"
"Medical Release","20","","3","13","","1","0","0","0","","0","0","0","0","0","37"
"Other Custody","130","","8","117","","14","41","3","0","","1","3","0","4","1","322"
"At Large","35","","2","14","","2","3","0","0","","0","0","0","0","0","56"
"Off-Grounds Medical (Hospital)","2","","0","2","","0","0","0","0","","0","0","0","0","0","4"
"TOTAL","16,481","","1,304","7,155","","1,249","230","16","23","","5","34","6","21","4","26,528"
"% OF TOTAL OFFENSES","62.13%","","4.92%","26.97%","","4.71%","0.87%","0.06%","0.09%","","0.02%","0.13%","0.02%","0.08%","0.02%","100.00%"
