"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","763","768","157","1,187","482"
"CMCF","908","1,059","145","788","320"
"SMCI","631","777","176","1,049","554"
"County Jails (approved)","733","638","31","81","38"
"Youthful Offender Facility","7","2","22","5"
"County Jails (unapproved)","9","71","5","12","8"
"Private Prisons","518","905","297","2,047","620"
"Regional Correctional Facilities","956","1,087","332","1,230","809"
"Community Work Centers","797","542","1","4","0"
"Community Trusties","10","0","0","0"
"Pending File Review","40","5","1","3","3"
"Court Order","113","121","15","47","15"
"TOTAL CUSTODY POPULATION","5,509","6,013","1,162","6,470","2,854"
"% OF TOTAL OFFENSES","25.03%","27.32%","5.28%","29.40%","12.97%"
"Intensive Supervison Program","698","791","12","42","6"
"Earned Release Supervision","509","572","194","368","8","1 3
3 3"
