"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","722","705","179","1,186","511"
"CMCF","743","896","120","700","287"
"SMCI","628","786","175","1,082","544"
"County Jails (approved)","628","523","31","95","62"
"Youthful Offender Facility","6","3","20","5"
"County Jails (unapproved)","1","105","11","19","17"
"Private Prisons","511","863","291","2,047","635"
"Regional Correctional Facilities","950","1,017","333","1,289","819"
"Community Work Centers","711","461","0","4","0"
"Community Trusties","10","0","0","0"
"Pending File Review","29","4","1","3","1"
"Court Order","106","129","4","34","13"
"TOTAL CUSTODY POPULATION","5,091","5,536","1,148","6,479","2,894"
"% OF TOTAL OFFENSES","24.07%","26.18%","5.43%","30.64%","13.68%"
"Intensive Supervison Program","677","797","13","39","3"
"Earned Release Supervision","441","511","181","356","5","2 5
1 4"
